# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_011_s53\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_011_s53 --batch-size 64 --coverage-stride 60 --early-stop-patience 3 --epochs 8 --eps-decay-frac 0.5 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 256 --lam 1.0 --lr 0.0003 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 53 --segment-frames 10 --select-by qoe_quality --target-update 6000 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s10.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 8 epochs = 3336 episodes (~100080 env steps)
   segment: 10 frames/request (30 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s10.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=0.0003, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_011_s53\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_011_s53
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-10534.02
[ep    1] longdress    driving_B_2020.01.16_09.56.56.csv@1235  reward=QoE=   -1.76 eps=0.999 loss=0.0000
[ep    2] loot         driving_B_2020.02.14_09.38.22.csv@31    reward=QoE=  -49.34 eps=0.999 loss=0.0000
[ep    3] redandblack  driving_B_2020.02.13_15.02.01.csv@476   reward=QoE=   39.44 eps=0.998 loss=1.6811
[ep    4] soldier      static_B_2020.02.27_18.39.27.csv@2736  reward=QoE=   31.48 eps=0.998 loss=1.3732
[ep    5] longdress    static_B_2020.02.27_18.39.27.csv@3276  reward=QoE=   24.12 eps=0.997 loss=1.0005
[ep    6] loot         driving_B_2020.02.13_13.03.24.csv@2188  reward=QoE= -187.18 eps=0.997 loss=1.6137
[ep    7] redandblack  driving_B_2019.12.16_12.27.05.csv@1018  reward=QoE=   33.80 eps=0.996 loss=1.6781
[ep    8] soldier      driving_B_2020.02.13_15.02.01.csv@116   reward=QoE=   29.23 eps=0.995 loss=1.3935
[ep    9] longdress    static_B_2020.02.27_18.39.27.csv@3636  reward=QoE=   29.81 eps=0.995 loss=1.2125
[ep   10] loot         driving_B_2020.01.16_12.10.03.csv@19    reward=QoE=   37.95 eps=0.994 loss=1.2712
[ep   11] redandblack  driving_B_2020.02.13_13.03.24.csv@1830  reward=QoE= -753.23 eps=0.994 loss=2.5907
[ep   12] soldier      driving_B_2020.01.16_07.26.43.csv@988   reward=QoE=  -54.35 eps=0.993 loss=2.4909
[ep   13] longdress    static_B_2020.02.27_18.39.27.csv@4836  reward=QoE=   59.84 eps=0.993 loss=2.3297
[ep   14] loot         driving_B_2019.12.16_12.27.05.csv@358   reward=QoE=   38.55 eps=0.992 loss=1.9014
[ep   15] redandblack  driving_B_2020.02.14_12.58.17.csv@624   reward=QoE=   -7.19 eps=0.991 loss=2.7579
[ep   16] soldier      driving_B_2020.02.13_15.02.01.csv@1076  reward=QoE=    1.47 eps=0.991 loss=2.5100
[ep   17] longdress    driving_B_2020.02.13_15.02.01.csv@2576  reward=QoE=   44.37 eps=0.990 loss=2.1870
[ep   18] loot         driving_B_2019.12.17_07.32.39.csv@2168  reward=QoE=  -65.62 eps=0.990 loss=2.0204
[ep   19] redandblack  static_B_2020.02.14_13.21.26.csv@21    reward=QoE=   24.52 eps=0.989 loss=3.3549
