# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u compare.py
====================================================================================================
BASELINE vs LSTM vs DQN comparison
trace: C:\Users\Nima\PointCloudStreaming\bandwidth_5g\static_B_2020.01.16_10.43.34.csv | frames: all
====================================================================================================
--- DASH-PC Point Cloud Streaming Simulation ---

[Session] User via edge-1 - Buffer: 5.0s capacity, 1.0s min, 30.0 FPS target
====================================================================================================
[User] Frame  35: ✅ Rep 5 (density=15338, size= 3970) | DL=0.07s | BW=164.9Mbps | Buffer: 🟡 0.83s (low) ▶️ PLAYING
[User] Frame  36: ✅ Rep 5 (density=15467, size= 4019) | DL=0.07s | BW=164.9Mbps | Buffer: 🟡 0.79s (low) ▶️ PLAYING
[User] Frame  37: ✅ Rep 5 (density=15446, size= 4048) | DL=0.07s | BW=164.9Mbps | Buffer: 🟡 0.75s (low) ▶️ PLAYING
[User] Frame  38: ✅ Rep 5 (density=15427, size= 3983) | DL=0.07s | BW=164.9Mbps | Buffer: 🟡 0.72s (low) ▶️ PLAYING
[User] Frame  39: ✅ Rep 5 (density=15376, size= 3994) | DL=0.06s | BW=164.9Mbps | Buffer: 🟡 0.68s (low) ▶️ PLAYING
[User] Frame  40: ✅ Rep 5 (density=15330, size= 3977) | DL=0.07s | BW=164.9Mbps | Buffer: 🟡 0.65s (low) ▶️ PLAYING
[User] Frame  41: ✅ Rep 5 (density=15210, size= 3877) | DL=0.07s | BW=164.9Mbps | Buffer: 🟡 0.61s (low) ▶️ PLAYING
[User] Frame  42: ✅ Rep 5 (density=15106, size= 3856) | DL=0.07s | BW=164.9Mbps | Buffer: 🟡 0.57s (low) ▶️ PLAYING
[User] Frame  43: ✅ Rep 5 (density=15053, size= 3829) | DL=0.08s | BW=164.9Mbps | Buffer: 🟡 0.52s (low) ▶️ PLAYING
[User] Frame  44: ✅ Rep 5 (density=15069, size= 3813) | DL=0.07s | BW=164.9Mbps | Buffer: 🔴 0.49s (critical) ▶️ PLAYING
[User] Frame  45: ✅ Rep 5 (density=15019, size= 3833) | DL=0.08s | BW=164.9Mbps | Buffer: 🔴 0.44s (critical) ▶️ PLAYING
[User] Frame  46: ✅ Rep 5 (density=15024, size= 3805) | DL=0.07s | BW=164.9Mbps | Buffer: 🔴 0.41s (critical) ▶️ PLAYING
[User] Frame  47: ✅ Rep 5 (density=15025, size= 3825) | DL=0.08s | BW=164.9Mbps | Buffer: 🔴 0.37s (critical) ▶️ PLAYING
[User] Frame  48: ✅ Rep 5 (density=15115, size= 3878) | DL=0.06s | BW=164.9Mbps | Buffer: 🔴 0.33s (critical) ▶️ PLAYING
[User] Frame  49: ✅ Rep 5 (density=15184, size= 3886) | DL=0.07s | BW=164.9Mbps | Buffer: 🔴 0.29s (critical) ▶️ PLAYING
[User] Frame  50: ✅ Rep 5 (density=15287, size= 3929) | DL=0.08s | BW=164.9Mbps | Buffer: 🔴 0.25s (critical) ▶️ PLAYING
[User] Frame  51: ✅ Rep 5 (density=15335, size= 3933) | DL=0.07s | BW=164.9Mbps | Buffer: 🔴 0.22s (critical) ▶️ PLAYING
[User] Frame  52: ✅ Rep 5 (density=15365, size= 3990) | DL=0.06s | BW=164.9Mbps | Buffer: 🔴 0.18s (critical) ▶️ PLAYING
[User] Frame  53: ✅ Rep 5 (density=15489, size= 3988) | DL=0.07s | BW=164.9Mbps | Buffer: 🔴 0.15s (critical) ▶️ PLAYING
[User] Frame  54: ✅ Rep 5 (density=15430, size= 3960) | DL=0.07s | BW=164.9Mbps | Buffer: 🔴 0.12s (critical) ▶️ PLAYING
[User] Frame  55: ✅ Rep 5 (density=15460, size= 3919) | DL=0.08s | BW=164.9Mbps | Buffer: 🔴 0.08s (critical) ▶️ PLAYING
[User] Frame  56: ✅ Rep 5 (density=15453, size= 3954) | DL=0.08s | BW=164.9Mbps | Buffer: 🔴 0.03s (critical) ⏸️ REBUFFERING...
[User] Frame  57: ✅ Rep 5 (density=15557, size= 3930) | DL=0.06s | BW=162.1Mbps | Buffer: 🔴 0.07s (critical) ⏸️ REBUFFERING...
[User] Frame  58: ✅ Rep 5 (density=15649, size= 3968) | DL=0.08s | BW=162.1Mbps | Buffer: 🔴 0.10s (critical) ⏸️ REBUFFERING...
[User] Frame  59: ✅ Rep 5 (density=15633, size= 3976) | DL=0.08s | BW=162.1Mbps | Buffer: 🔴 0.13s (critical) ⏸️ REBUFFERING...
[User] Frame  60: ✅ Rep 5 (density=15652, size= 4017) | DL=0.08s | BW=162.1Mbps | Buffer: 🔴 0.17s (critical) ⏸️ REBUFFERING...
[User] Frame  61: ✅ Rep 5 (density=15701, size= 4022) | DL=0.08s | BW=162.1Mbps | Buffer: 🔴 0.20s (critical) ⏸️ REBUFFERING...
[User] Frame  62: ✅ Rep 5 (density=15589, size= 3988) | DL=0.08s | BW=162.1Mbps | Buffer: 🔴 0.23s (critical) ⏸️ REBUFFERING...
[User] Frame  63: ✅ Rep 5 (density=15419, size= 3945) | DL=0.07s | BW=162.1Mbps | Buffer: 🔴 0.27s (critical) ⏸️ REBUFFERING...
[User] Frame  64: ✅ Rep 5 (density=15144, size= 3885) | DL=0.07s | BW=162.1Mbps | Buffer: 🔴 0.30s (critical) ⏸️ REBUFFERING...
[User] Frame  65: ✅ Rep 5 (density=15024, size= 3879) | DL=0.07s | BW=162.1Mbps | Buffer: 🔴 0.33s (critical) ⏸️ REBUFFERING...
[User] Frame  66: ✅ Rep 5 (density=15000, size= 3900) | DL=0.06s | BW=162.1Mbps | Buffer: 🔴 0.37s (critical) ⏸️ REBUFFERING...
[User] Frame  67: ✅ Rep 5 (density=14989, size= 3864) | DL=0.07s | BW=162.1Mbps | Buffer: 🔴 0.40s (critical) ⏸️ REBUFFERING...
[User] Frame  68: ✅ Rep 5 (density=14873, size= 3815) | DL=0.08s | BW=162.1Mbps | Buffer: 🔴 0.43s (critical) ⏸️ REBUFFERING...
[User] Frame  69: ✅ Rep 5 (density=14789, size= 3834) | DL=0.07s | BW=162.1Mbps | Buffer: 🔴 0.47s (critical) ⏸️ REBUFFERING...
[User] Frame  70: ✅ Rep 5 (density=14789, size= 3856) | DL=0.08s | BW=162.1Mbps | Buffer: 🔴 0.50s (critical) ⏸️ REBUFFERING...
[User] Frame  71: ✅ Rep 5 (density=14751, size= 3852) | DL=0.07s | BW=155.3Mbps | Buffer: 🟡 0.53s (low) ⏸️ REBUFFERING...
[User] Frame  72: ✅ Rep 5 (density=14848, size= 3857) | DL=0.08s | BW=155.3Mbps | Buffer: 🟡 0.57s (low) ⏸️ REBUFFERING...
[User] Frame  73: ✅ Rep 5 (density=14890, size= 3861) | DL=0.06s | BW=155.3Mbps | Buffer: 🟡 0.60s (low) ⏸️ REBUFFERING...
[User] Frame  74: ✅ Rep 5 (density=15009, size= 3857) | DL=0.07s | BW=155.3Mbps | Buffer: 🟡 0.63s (low) ⏸️ REBUFFERING...
[User] Frame  75: ✅ Rep 5 (density=15114, size= 3800) | DL=0.07s | BW=155.3Mbps | Buffer: 🟡 0.67s (low) ⏸️ REBUFFERING...
[User] Frame  76: ✅ Rep 5 (density=15160, size= 3841) | DL=0.07s | BW=155.3Mbps | Buffer: 🟡 0.70s (low) ⏸️ REBUFFERING...
[User] Frame  77: ✅ Rep 5 (density=15056, size= 3762) | DL=0.08s | BW=155.3Mbps | Buffer: 🟡 0.73s (low) ⏸️ REBUFFERING...
[User] Frame  78: ✅ Rep 5 (density=15040, size= 3787) | DL=0.07s | BW=155.3Mbps | Buffer: 🟡 0.77s (low) ⏸️ REBUFFERING...
[User] Frame  79: ✅ Rep 5 (density=15136, size= 3840) | DL=0.08s | BW=155.3Mbps | Buffer: 🟡 0.80s (low) ⏸️ REBUFFERING...
