# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_005_s42\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_005_s42 --coverage-stride 60 --epochs 8 --eval-every 100 --eval-seeds 42,43,44 --lam 1.0 --lr 0.0001 --mu 2.0 --playback-rate-min 0.9 --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 42 --segment-frames 30 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 199 episodes/epoch x 8 epochs = 1592 episodes (~15920 env steps)
   segment: 30 frames/request (10 decisions/episode) | playback-rate-min: 0.9 | eval seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 2.0*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_005_s42\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_005_s42
==========================================================================================
[eval @ ep 0] untrained: reward=151.61 qoe=0.0 qoe_q=48.2
[ep    1] longdress    static_B_2020.02.13_13.57.29.csv@78    reward=  173.74 qoe=  80.0 qoe_q=   54.0 eps=0.999 loss=0.0000
[ep    2] loot         static_B_2020.02.27_18.39.27.csv@2448  reward=  216.59 qoe=   0.0 qoe_q=   69.3 eps=0.998 loss=0.0000
[ep    3] redandblack  static_B_2020.02.13_13.57.29.csv@378   reward=  203.93 qoe=  71.1 qoe_q=   53.1 eps=0.997 loss=0.0000
[ep    4] soldier      static_B_2019.12.16_13.40.04.csv@1262  reward=  172.02 qoe=   0.0 qoe_q=   11.0 eps=0.996 loss=0.0000
[ep    5] longdress    static_B_2020.02.27_18.39.27.csv@3768  reward=  236.18 qoe=  89.3 qoe_q=   76.7 eps=0.995 loss=0.0000
[ep    6] loot         static_B_2020.02.27_18.39.27.csv@3888  reward=  224.11 qoe=  39.5 qoe_q=   33.1 eps=0.994 loss=0.0000
[ep    7] redandblack  static_B_2020.02.27_18.39.27.csv@2028  reward=  229.82 qoe=   0.0 qoe_q=   75.0 eps=0.993 loss=1.7733
[ep    8] soldier      static_B_2020.02.27_18.39.27.csv@828   reward=  213.66 qoe= 100.0 qoe_q=   69.4 eps=0.992 loss=1.6989
[ep    9] longdress    static_B_2020.02.13_13.57.29.csv@2945  reward=  152.52 qoe=  66.0 qoe_q=   29.5 eps=0.991 loss=1.7339
[ep   10] loot         static_B_2020.02.27_18.39.27.csv@1488  reward=  221.71 qoe=  84.2 qoe_q=   68.3 eps=0.990 loss=1.5694
[ep   11] redandblack  static_B_2019.12.16_13.40.04.csv@1022  reward=  186.75 qoe=  64.9 qoe_q=   50.5 eps=0.989 loss=1.5293
[ep   12] soldier      static_B_2020.02.27_18.39.27.csv@3708  reward=  138.40 qoe=   0.0 qoe_q=   43.8 eps=0.988 loss=1.5031
[ep   13] longdress    static_B_2020.02.27_18.39.27.csv@5742  reward=  176.81 qoe=  24.8 qoe_q=   34.1 eps=0.987 loss=1.3654
[ep   14] loot         static_B_2020.02.27_18.39.27.csv@2628  reward=  187.87 qoe=   6.0 qoe_q=   60.7 eps=0.986 loss=1.3451
[ep   15] redandblack  static_B_2020.02.27_18.39.27.csv@5742  reward=  181.60 qoe=   0.0 qoe_q=   58.0 eps=0.985 loss=1.3531
[ep   16] soldier      static_B_2020.02.27_18.39.27.csv@1248  reward=  180.02 qoe=   0.0 qoe_q=   53.2 eps=0.984 loss=1.2445
[ep   17] longdress    static_B_2020.02.27_18.39.27.csv@2328  reward=  137.84 qoe=  67.8 qoe_q=   36.9 eps=0.983 loss=1.1474
[ep   18] loot         static_B_2020.02.27_18.39.27.csv@288   reward=  173.94 qoe=   0.0 qoe_q=   54.7 eps=0.982 loss=1.0678
[ep   19] redandblack  static_B_2019.12.16_13.40.04.csv@302   reward=  199.52 qoe=   0.0 qoe_q=  -18.2 eps=0.981 loss=1.0136
[ep   20] soldier      static_B_2020.02.27_18.39.27.csv@4548  reward=  131.92 qoe=   2.8 qoe_q=   33.4 eps=0.980 loss=0.8667
[ep   21] longdress    static_B_2020.02.27_18.39.27.csv@4608  reward=  182.80 qoe=  61.5 qoe_q=   36.8 eps=0.979 loss=0.7568
[ep   22] loot         static_B_2020.02.13_13.57.29.csv@1278  reward=  179.15 qoe=  82.9 qoe_q=   53.7 eps=0.978 loss=0.6291
[ep   23] redandblack  static_B_2020.02.27_18.39.27.csv@1788  reward=  192.23 qoe=   0.0 qoe_q=   56.5 eps=0.977 loss=0.5135
[ep   24] soldier      static_B_2020.02.13_13.57.29.csv@1518  reward=  163.12 qoe=  37.5 qoe_q=   19.5 eps=0.976 loss=0.3628
[ep   25] longdress    static_B_2020.02.27_18.39.27.csv@468   reward=  220.56 qoe= 100.0 qoe_q=   72.4 eps=0.975 loss=0.2773
[ep   26] loot         static_B_2020.02.27_18.39.27.csv@768   reward=  197.28 qoe=   0.0 qoe_q=   62.7 eps=0.974 loss=0.1918
[ep   27] redandblack  static_B_2020.02.27_18.39.27.csv@108   reward=  167.93 qoe=   0.0 qoe_q=   52.6 eps=0.973 loss=0.1186
[ep   28] soldier      static_B_2019.12.16_13.40.04.csv@1802  reward=  203.88 qoe=  38.0 qoe_q=   66.2 eps=0.972 loss=0.0818
[ep   29] longdress    static_B_2020.02.13_13.57.29.csv@2718  reward=  173.55 qoe=  81.7 qoe_q=   49.6 eps=0.971 loss=0.0607
[ep   30] loot         static_B_2020.02.27_18.39.27.csv@1188  reward=  129.14 qoe=   0.0 qoe_q= -203.8 eps=0.970 loss=0.0530
[ep   31] redandblack  static_B_2020.02.13_13.57.29.csv@2298  reward=  214.51 qoe=  84.6 qoe_q=   66.3 eps=0.969 loss=0.0395
[ep   32] soldier      static_B_2020.02.27_18.39.27.csv@48    reward=  162.53 qoe=   0.0 qoe_q=   50.9 eps=0.968 loss=0.0322
[ep   33] longdress    static_B_2020.02.14_13.21.26.csv@764   reward=  206.58 qoe=  38.0 qoe_q=   66.1 eps=0.967 loss=0.0328
[ep   34] loot         static_B_2019.12.16_13.40.04.csv@542   reward=  165.49 qoe=   0.0 qoe_q=   52.9 eps=0.966 loss=0.0323
[ep   35] redandblack  static_B_2019.12.16_13.40.04.csv@1502  reward=  215.37 qoe=  44.0 qoe_q=   69.8 eps=0.965 loss=0.0333
[ep   36] soldier      static_B_2019.12.16_13.40.04.csv@1682  reward=  180.62 qoe=  64.6 qoe_q=   39.8 eps=0.964 loss=0.0282
[ep   37] longdress    static_B_2019.12.16_13.40.04.csv@482   reward=  229.53 qoe=  83.7 qoe_q=   71.1 eps=0.963 loss=0.0284
[ep   38] loot         static_B_2020.02.27_18.39.27.csv@348   reward=  196.24 qoe=  54.0 qoe_q=   62.8 eps=0.962 loss=0.0210
[ep   39] redandblack  static_B_2020.02.14_13.21.26.csv@824   reward=  159.15 qoe=   0.0 qoe_q=   49.5 eps=0.961 loss=0.0244
