# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_006_s43\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_006_s43 --batch-size 64 --coverage-stride 60 --early-stop-patience 0 --epochs 3 --eps-decay-frac 0.5 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 256 --lam 1.0 --lr 0.0003 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 43 --segment-frames 8 --select-by qoe_quality --target-update 6000 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s8.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 3 epochs = 1251 episodes (~47538 env steps)
   segment: 8 frames/request (38 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s8.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=0.0003, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_006_s43\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_006_s43
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-4674.55
[ep    1] longdress    driving_B_2020.01.16_07.26.43.csv@1594  reward=QoE= -149.65 eps=0.999 loss=0.0000
[ep    2] loot         static_B_2020.02.14_13.21.26.csv@494   reward=QoE=   22.68 eps=0.997 loss=2.3509
[ep    3] redandblack  static_B_2019.12.16_13.40.04.csv@301   reward=QoE=  -10.59 eps=0.995 loss=2.1000
[ep    4] soldier      driving_B_2020.02.14_09.38.22.csv@324   reward=QoE= -316.30 eps=0.994 loss=2.3478
[ep    5] longdress    driving_B_2020.02.13_13.03.24.csv@1747  reward=QoE=    6.91 eps=0.992 loss=2.9671
[ep    6] loot         driving_B_2020.01.16_09.56.56.csv@104   reward=QoE= -101.41 eps=0.991 loss=2.5098
[ep    7] redandblack  static_B_2020.02.14_13.21.26.csv@314   reward=QoE=   34.83 eps=0.989 loss=2.2415
[ep    8] soldier      static_B_2020.02.14_13.21.26.csv@194   reward=QoE=   35.22 eps=0.988 loss=2.0265
[ep    9] longdress    driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   50.77 eps=0.986 loss=1.7994
[ep   10] loot         static_B_2020.02.27_18.39.27.csv@5707  reward=QoE=   42.87 eps=0.985 loss=1.6900
[ep   11] redandblack  static_B_2020.02.27_18.39.27.csv@3367  reward=QoE=   28.32 eps=0.983 loss=1.6518
[ep   12] soldier      driving_B_2020.02.13_13.03.24.csv@2188  reward=QoE= -446.72 eps=0.982 loss=2.2014
[ep   13] longdress    driving_B_2019.12.16_12.27.05.csv@686   reward=QoE=  -38.22 eps=0.980 loss=2.3445
[ep   14] loot         driving_B_2019.12.16_12.27.05.csv@1106  reward=QoE=  -30.98 eps=0.979 loss=1.9102
[ep   15] redandblack  driving_B_2020.01.16_07.26.43.csv@1770  reward=QoE= -163.43 eps=0.977 loss=1.8893
[ep   16] soldier      driving_B_2020.02.13_15.02.01.csv@1571  reward=QoE= -563.21 eps=0.976 loss=2.9912
[ep   17] longdress    driving_B_2019.12.17_07.32.39.csv@153   reward=QoE=  -61.48 eps=0.974 loss=3.0158
[ep   18] loot         driving_B_2020.02.13_13.03.24.csv@247   reward=QoE=  -62.00 eps=0.973 loss=2.9955
[ep   19] redandblack  static_B_2020.02.27_18.39.27.csv@1627  reward=QoE=   24.36 eps=0.971 loss=2.8352
[ep   20] soldier      driving_B_2019.12.16_12.27.05.csv@746   reward=QoE=   20.53 eps=0.970 loss=2.8104
[ep   21] longdress    driving_B_2019.12.16_12.27.05.csv@986   reward=QoE=   27.87 eps=0.968 loss=2.0628
[ep   22] loot         driving_B_2020.02.13_15.02.01.csv@851   reward=QoE=  -27.26 eps=0.967 loss=2.4947
[ep   23] redandblack  static_B_2020.02.27_18.39.27.csv@5742  reward=QoE=   39.11 eps=0.965 loss=2.0869
[ep   24] soldier      driving_B_2020.02.14_09.38.22.csv@24    reward=QoE= -134.28 eps=0.964 loss=2.2491
[ep   25] longdress    driving_B_2020.02.13_15.02.01.csv@1751  reward=QoE=   -0.61 eps=0.962 loss=1.9948
[ep   26] loot         driving_B_2020.02.14_09.38.22.csv@84    reward=QoE=  -57.17 eps=0.961 loss=1.9608
[ep   27] redandblack  driving_B_2019.12.17_07.32.39.csv@2288  reward=QoE=   37.32 eps=0.959 loss=1.7444
[ep   28] soldier      static_B_2020.02.27_18.39.27.csv@5227  reward=QoE=   -5.45 eps=0.958 loss=1.7559
[ep   29] longdress    driving_B_2020.01.16_09.56.56.csv@704   reward=QoE=   20.46 eps=0.956 loss=1.7395
[ep   30] loot         driving_B_2020.02.13_15.02.01.csv@2171  reward=QoE=   32.97 eps=0.954 loss=1.2868
[ep   31] redandblack  driving_B_2020.01.16_09.56.56.csv@1064  reward=QoE=  -24.98 eps=0.953 loss=1.6731
[ep   32] soldier      static_B_2020.02.27_18.39.27.csv@1267  reward=QoE=   43.51 eps=0.951 loss=1.3773
[ep   33] longdress    driving_B_2020.02.13_13.03.24.csv@367   reward=QoE= -129.55 eps=0.950 loss=1.6008
[ep   34] loot         static_B_2020.02.27_18.39.27.csv@3907  reward=QoE=   13.94 eps=0.948 loss=1.4054
[ep   35] redandblack  static_B_2020.02.27_18.39.27.csv@4027  reward=QoE=   23.61 eps=0.947 loss=1.5515
[ep   36] soldier      driving_B_2020.02.13_13.03.24.csv@487   reward=QoE= -139.97 eps=0.945 loss=1.5192
[ep   37] longdress    driving_B_2019.12.17_07.32.39.csv@813   reward=QoE=  -85.11 eps=0.944 loss=1.2964
[ep   38] loot         driving_B_2020.02.13_15.02.01.csv@971   reward=QoE=  -24.85 eps=0.942 loss=1.7018
[ep   39] redandblack  driving_B_2020.02.14_09.38.22.csv@1478  reward=QoE=  -48.77 eps=0.941 loss=1.6330
