# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43 --coverage-stride 60 --epochs 8 --eval-every 100 --eval-seeds 42,43,44 --lam 1.0 --lr 0.0001 --mu 2.0 --playback-rate-min 0.9 --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 43 --segment-frames 8 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 237 episodes/epoch x 8 epochs = 1896 episodes (~72048 env steps)
   segment: 8 frames/request (38 decisions/episode) | playback-rate-min: 0.9 | eval seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 2.0*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43
==========================================================================================
[eval @ ep 0] untrained: reward=76.67 qoe=25.6 qoe_q=-22.3
[ep   31] redandblack  static_B_2020.02.27_18.39.27.csv@5742  reward=  133.79 qoe=   4.9 qoe_q=   15.4 eps=0.974 loss=0.0583
[ep   32] soldier      static_B_2019.12.16_13.40.04.csv@806   reward=  158.39 qoe= 100.0 qoe_q=   39.5 eps=0.973 loss=0.0620
[ep   33] longdress    static_B_2020.01.16_10.43.34.csv@2673  reward=  180.14 qoe=  36.3 qoe_q=   26.9 eps=0.972 loss=0.0610
[ep   34] loot         static_B_2020.02.27_18.39.27.csv@5024  reward=  153.80 qoe=  76.3 qoe_q=   31.4 eps=0.972 loss=0.0663
[ep   35] redandblack  static_B_2019.12.16_13.40.04.csv@1286  reward=  158.73 qoe= 100.0 qoe_q=   43.0 eps=0.971 loss=0.0615
[ep   36] soldier      static_B_2020.02.13_13.57.29.csv@694   reward=  125.21 qoe=   0.0 qoe_q= -127.0 eps=0.970 loss=0.0659
[ep   37] longdress    static_B_2020.02.27_18.39.27.csv@2804  reward=  160.40 qoe=  56.0 qoe_q=   41.0 eps=0.969 loss=0.0609
[ep   38] loot         static_B_2020.01.16_10.43.34.csv@2913  reward=  102.96 qoe=   0.0 qoe_q=  -65.8 eps=0.968 loss=0.0752
[ep   39] redandblack  static_B_2020.01.16_10.43.34.csv@333   reward=  162.38 qoe=  10.0 qoe_q=   41.3 eps=0.967 loss=0.0683
[ep   40] soldier      static_B_2020.02.27_18.39.27.csv@1604  reward=  137.42 qoe=   0.0 qoe_q=  -88.8 eps=0.967 loss=0.0761
[ep   41] longdress    static_B_2020.02.27_18.39.27.csv@3764  reward=  184.73 qoe= 100.0 qoe_q=   53.0 eps=0.966 loss=0.0761
[ep   42] loot         static_B_2020.02.27_18.39.27.csv@2744  reward=  200.02 qoe=   0.0 qoe_q=   57.9 eps=0.965 loss=0.0714
[ep   43] redandblack  static_B_2020.02.27_18.39.27.csv@2924  reward=  175.10 qoe=  60.4 qoe_q=   34.9 eps=0.964 loss=0.0767
[ep   44] soldier      static_B_2020.02.27_18.39.27.csv@1064  reward=  215.28 qoe=  73.7 qoe_q=   52.7 eps=0.963 loss=0.0665
[ep   45] longdress    static_B_2020.02.27_18.39.27.csv@3104  reward=  157.82 qoe=   0.0 qoe_q=  -18.8 eps=0.962 loss=0.0695
[ep   46] loot         static_B_2020.01.16_10.43.34.csv@933   reward=  182.28 qoe=  81.4 qoe_q=   47.7 eps=0.962 loss=0.0752
[ep   47] redandblack  static_B_2020.02.13_13.57.29.csv@154   reward=  178.42 qoe=   0.0 qoe_q=   50.5 eps=0.961 loss=0.0748
[ep   48] soldier      static_B_2020.01.16_10.43.34.csv@573   reward=  138.79 qoe=  39.2 qoe_q=   11.5 eps=0.960 loss=0.0701
[ep   49] longdress    static_B_2020.02.27_18.39.27.csv@2504  reward=  145.62 qoe=  52.0 qoe_q=   37.8 eps=0.959 loss=0.0684
[ep   50] loot         static_B_2020.02.27_18.39.27.csv@5204  reward=  148.96 qoe=   4.9 qoe_q=   -0.3 eps=0.958 loss=0.0705
[ep   51] redandblack  static_B_2019.12.16_13.40.04.csv@326   reward=  136.03 qoe=   0.0 qoe_q=  -18.2 eps=0.957 loss=0.0694
[ep   52] soldier      static_B_2019.12.16_13.40.04.csv@26    reward=  197.57 qoe=  54.0 qoe_q=   56.4 eps=0.957 loss=0.0686
[ep   53] longdress    static_B_2020.02.27_18.39.27.csv@2084  reward=  183.11 qoe= 100.0 qoe_q=   52.2 eps=0.956 loss=0.0676
[ep   54] loot         static_B_2020.02.27_18.39.27.csv@3404  reward=  188.55 qoe=  88.6 qoe_q=   52.6 eps=0.955 loss=0.0660
[ep   55] redandblack  static_B_2020.01.16_10.43.34.csv@1293  reward=  176.00 qoe= 100.0 qoe_q=   49.8 eps=0.954 loss=0.0651
[ep   56] soldier      static_B_2019.12.16_13.40.04.csv@1226  reward=  203.98 qoe=  58.9 qoe_q=   30.5 eps=0.953 loss=0.0667
[ep   57] longdress    static_B_2020.02.13_13.57.29.csv@1834  reward=  180.43 qoe=  12.0 qoe_q=   52.3 eps=0.952 loss=0.0635
[ep   58] loot         static_B_2020.02.13_13.57.29.csv@1654  reward=  169.43 qoe=  70.9 qoe_q=   40.3 eps=0.952 loss=0.0711
[ep   59] redandblack  static_B_2019.12.16_13.40.04.csv@1406  reward=  177.51 qoe=  74.1 qoe_q=   41.8 eps=0.951 loss=0.0644
[ep   60] soldier      static_B_2020.02.27_18.39.27.csv@3224  reward=  166.91 qoe=  32.0 qoe_q=   46.3 eps=0.950 loss=0.0719
[ep   61] longdress    static_B_2020.02.27_18.39.27.csv@4484  reward=  140.98 qoe=  50.0 qoe_q=   23.8 eps=0.949 loss=0.0680
[ep   62] loot         static_B_2019.12.16_13.40.04.csv@866   reward=  196.40 qoe=  70.4 qoe_q=   43.9 eps=0.948 loss=0.0654
[ep   63] redandblack  static_B_2020.02.13_13.57.29.csv@994   reward=  142.64 qoe=  18.4 qoe_q=    1.1 eps=0.947 loss=0.0677
[ep   64] soldier      static_B_2020.02.13_13.57.29.csv@334   reward=  146.69 qoe=   0.0 qoe_q=    0.5 eps=0.947 loss=0.0732
[ep   65] longdress    static_B_2020.02.13_13.57.29.csv@1474  reward=  164.98 qoe= 100.0 qoe_q=   46.0 eps=0.946 loss=0.0628
[ep   66] loot         static_B_2020.01.16_10.43.34.csv@2733  reward=  169.00 qoe= 100.0 qoe_q=   47.9 eps=0.945 loss=0.0748
[ep   67] redandblack  static_B_2020.01.16_10.43.34.csv@1113  reward=  154.61 qoe=  40.1 qoe_q=   25.3 eps=0.944 loss=0.0673
[ep   68] soldier      static_B_2020.01.16_10.43.34.csv@33    reward=  123.17 qoe=   0.0 qoe_q=   -8.4 eps=0.943 loss=0.0587
[ep   69] longdress    static_B_2020.02.27_18.39.27.csv@884   reward=  193.21 qoe= 100.0 qoe_q=   56.3 eps=0.942 loss=0.0706
[ep   70] loot         static_B_2020.02.13_13.57.29.csv@2314  reward=  140.49 qoe=  45.8 qoe_q=   19.3 eps=0.942 loss=0.0729
[ep   71] redandblack  static_B_2020.02.13_13.57.29.csv@1894  reward=  180.16 qoe=  71.3 qoe_q=   38.0 eps=0.941 loss=0.0672
[ep   72] soldier      static_B_2020.02.27_18.39.27.csv@2564  reward=  158.90 qoe=  36.0 qoe_q=   43.1 eps=0.940 loss=0.0634
[ep   73] longdress    static_B_2020.02.27_18.39.27.csv@5384  reward=  139.72 qoe=  14.0 qoe_q=   36.7 eps=0.939 loss=0.0645
[ep   74] loot         static_B_2019.12.16_13.40.04.csv@266   reward=  170.07 qoe=  11.7 qoe_q=    4.0 eps=0.938 loss=0.0641
[ep   75] redandblack  static_B_2020.02.27_18.39.27.csv@1844  reward=  157.21 qoe=  13.5 qoe_q=   -6.3 eps=0.937 loss=0.0698
[ep   76] soldier      static_B_2020.01.16_10.43.34.csv@753   reward=  130.00 qoe=   0.0 qoe_q=  -29.5 eps=0.937 loss=0.0657
[ep   77] longdress    static_B_2020.01.16_10.43.34.csv@1833  reward=  186.25 qoe=   2.0 qoe_q=   54.2 eps=0.936 loss=0.0724
[ep   78] loot         static_B_2020.01.16_10.43.34.csv@2073  reward=  166.35 qoe=  86.0 qoe_q=   41.6 eps=0.935 loss=0.0681
[ep   79] redandblack  static_B_2020.01.16_10.43.34.csv@2853  reward=  175.42 qoe=  66.0 qoe_q=   50.5 eps=0.934 loss=0.0699
[ep   80] soldier      static_B_2020.02.27_18.39.27.csv@3824  reward=  162.05 qoe=   0.0 qoe_q=  -20.7 eps=0.933 loss=0.0680
[ep   81] longdress    static_B_2020.01.16_10.43.34.csv@2373  reward=  218.65 qoe=  26.0 qoe_q=   65.5 eps=0.932 loss=0.5986
[ep   82] loot         static_B_2020.02.13_13.57.29.csv@1774  reward=  173.05 qoe=  70.0 qoe_q=   47.2 eps=0.932 loss=0.2483
[ep   83] redandblack  static_B_2019.12.16_13.40.04.csv@626   reward=  177.86 qoe=   0.0 qoe_q=   -7.7 eps=0.931 loss=0.1360
[ep   84] soldier      static_B_2020.02.27_18.39.27.csv@5324  reward=  199.86 qoe=  26.0 qoe_q=   58.7 eps=0.930 loss=0.1300
[ep   85] longdress    static_B_2020.01.16_10.43.34.csv@633   reward=  167.02 qoe=  34.0 qoe_q=   46.3 eps=0.929 loss=0.1391
[ep   86] loot         static_B_2020.02.27_18.39.27.csv@4364  reward=  156.31 qoe= 100.0 qoe_q=   41.8 eps=0.928 loss=0.1237
[ep   87] redandblack  static_B_2020.02.27_18.39.27.csv@644   reward=  173.96 qoe=   8.0 qoe_q=   47.7 eps=0.927 loss=0.1248
[ep   88] soldier      static_B_2020.01.16_10.43.34.csv@1353  reward=  178.47 qoe=  63.9 qoe_q=   31.1 eps=0.927 loss=0.1290
[ep   89] longdress    static_B_2020.02.13_13.57.29.csv@454   reward=  140.45 qoe=   5.4 qoe_q=    1.7 eps=0.926 loss=0.1265
[ep   90] loot         static_B_2020.02.27_18.39.27.csv@1904  reward=  168.37 qoe=  70.0 qoe_q=   44.5 eps=0.925 loss=0.1279
[ep   91] redandblack  static_B_2020.02.27_18.39.27.csv@2204  reward=  205.36 qoe=  63.7 qoe_q=   40.6 eps=0.924 loss=0.1368
[ep   92] soldier      static_B_2020.02.27_18.39.27.csv@464   reward=  191.21 qoe=  15.3 qoe_q=    5.1 eps=0.923 loss=0.1181
[ep   93] longdress    static_B_2020.02.13_13.57.29.csv@2734  reward=  123.88 qoe=   0.0 qoe_q=  -26.8 eps=0.922 loss=0.1267
[ep   94] loot         static_B_2019.12.16_13.40.04.csv@1904  reward=  176.54 qoe=   0.0 qoe_q=   50.1 eps=0.922 loss=0.1319
[ep   95] redandblack  static_B_2020.02.27_18.39.27.csv@4544  reward=  176.58 qoe=  68.1 qoe_q=   36.9 eps=0.921 loss=0.1283
[ep   96] soldier      static_B_2020.02.27_18.39.27.csv@2384  reward=  195.58 qoe=  72.0 qoe_q=   57.8 eps=0.920 loss=0.1272
[ep   97] longdress    static_B_2020.02.27_18.39.27.csv@284   reward=  171.44 qoe=  68.3 qoe_q=   34.5 eps=0.919 loss=0.1170
[ep   98] loot         static_B_2020.02.13_13.57.29.csv@2434  reward=  140.52 qoe=  21.1 qoe_q=   15.2 eps=0.918 loss=0.1174
[ep   99] redandblack  static_B_2020.02.13_13.57.29.csv@814   reward=  166.76 qoe=  40.8 qoe_q=   18.3 eps=0.917 loss=0.1229
[ep  100] soldier      static_B_2020.02.13_13.57.29.csv@2494  reward=  165.92 qoe=   0.0 qoe_q=  -14.1 eps=0.917 loss=0.1325
    [eval @ ep 100] reward=195.51 qoe=0.0 qoe_q=-74.2 mean_q=0.950 stall=38.8s  <-- best (saved)
[ep  101] longdress    static_B_2020.01.16_10.43.34.csv@1053  reward=  138.77 qoe=   9.9 qoe_q=    4.2 eps=0.916 loss=0.1287
[ep  102] loot         static_B_2020.02.27_18.39.27.csv@1784  reward=  115.71 qoe=   0.0 qoe_q= -427.0 eps=0.915 loss=0.1584
[ep  103] redandblack  static_B_2020.02.13_13.57.29.csv@1054  reward=  148.60 qoe=   0.0 qoe_q=   -7.5 eps=0.914 loss=0.1510
[ep  104] soldier      static_B_2020.02.13_13.57.29.csv@2945  reward=  166.60 qoe=  60.6 qoe_q=   19.9 eps=0.913 loss=0.1212
[ep  105] longdress    static_B_2020.02.13_13.57.29.csv@1594  reward=  215.99 qoe= 100.0 qoe_q=   63.4 eps=0.912 loss=0.1199
[ep  106] loot         static_B_2020.01.16_10.43.34.csv@1713  reward=  163.36 qoe=  71.0 qoe_q=   37.2 eps=0.912 loss=0.1318
[ep  107] redandblack  static_B_2020.02.13_13.57.29.csv@874   reward=  156.63 qoe=   4.2 qoe_q=    8.0 eps=0.911 loss=0.1359
[ep  108] soldier      static_B_2020.02.13_13.57.29.csv@2674  reward=  186.30 qoe=  70.9 qoe_q=   39.5 eps=0.910 loss=0.1327
[ep  109] longdress    static_B_2020.01.16_10.43.34.csv@513   reward=  187.77 qoe= 100.0 qoe_q=   53.3 eps=0.909 loss=0.1345
[ep  110] loot         static_B_2020.01.16_10.43.34.csv@2553  reward=  205.38 qoe=   8.0 qoe_q=   60.9 eps=0.908 loss=0.1362
[ep  111] redandblack  static_B_2020.02.13_13.57.29.csv@754   reward=  129.24 qoe=   0.0 qoe_q=   -4.6 eps=0.907 loss=0.1401
[ep  112] soldier      static_B_2020.02.27_18.39.27.csv@164   reward=  202.11 qoe=  72.0 qoe_q=   59.5 eps=0.906 loss=0.1213
[ep  113] longdress    static_B_2020.02.27_18.39.27.csv@4724  reward=  200.45 qoe=  69.3 qoe_q=   43.9 eps=0.906 loss=0.1329
[ep  114] loot         static_B_2020.01.16_10.43.34.csv@1893  reward=  187.50 qoe=   0.0 qoe_q=   53.2 eps=0.905 loss=0.1295
[ep  115] redandblack  static_B_2020.02.27_18.39.27.csv@3344  reward=  157.32 qoe=  65.8 qoe_q=   25.2 eps=0.904 loss=0.1326
[ep  116] soldier      static_B_2020.02.27_18.39.27.csv@2864  reward=  201.38 qoe=  80.1 qoe_q=   55.0 eps=0.903 loss=0.1389
[ep  117] longdress    static_B_2020.01.16_10.43.34.csv@1653  reward=  182.65 qoe=  39.7 qoe_q=   33.8 eps=0.902 loss=0.1301
[ep  118] loot         static_B_2020.01.16_10.43.34.csv@93    reward=  169.79 qoe=   0.0 qoe_q=   -6.7 eps=0.901 loss=0.1285
[ep  119] redandblack  static_B_2020.02.27_18.39.27.csv@5504  reward=  200.01 qoe=   0.0 qoe_q=   60.6 eps=0.901 loss=0.1241
[ep  120] soldier      static_B_2020.02.13_13.57.29.csv@1114  reward=  175.18 qoe=  42.0 qoe_q=   33.6 eps=0.900 loss=0.1274
[ep  121] longdress    static_B_2020.02.13_13.57.29.csv@1174  reward=  187.06 qoe=  48.6 qoe_q=   35.4 eps=0.899 loss=0.1166
[ep  122] loot         static_B_2020.02.13_13.57.29.csv@1294  reward=  187.16 qoe= 100.0 qoe_q=   52.6 eps=0.898 loss=0.1308
[ep  123] redandblack  static_B_2020.02.27_18.39.27.csv@3164  reward=  145.17 qoe=   0.0 qoe_q= -285.8 eps=0.897 loss=0.1488
[ep  124] soldier      static_B_2020.02.27_18.39.27.csv@4184  reward=  185.50 qoe=   0.0 qoe_q=  -27.7 eps=0.896 loss=0.1380
[ep  125] longdress    static_B_2020.02.27_18.39.27.csv@5084  reward=  182.81 qoe= 100.0 qoe_q=   50.9 eps=0.896 loss=0.1382
[ep  126] loot         static_B_2020.01.16_10.43.34.csv@2013  reward=  131.34 qoe=  18.8 qoe_q=  -18.9 eps=0.895 loss=0.1406
[ep  127] redandblack  static_B_2020.02.27_18.39.27.csv@1544  reward=  179.94 qoe=  94.0 qoe_q=   49.8 eps=0.894 loss=0.1410
