episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
1,longdress,static_B_2020.02.27_18.39.27.csv,5684,178.3635,84.22,50.99,0.9992,0.000000
2,loot,static_B_2019.12.16_13.40.04.csv,1346,216.1656,100.00,68.99,0.9984,0.000000
3,redandblack,static_B_2020.02.13_13.57.29.csv,2374,137.0783,53.81,31.04,0.9975,0.000000
4,soldier,static_B_2020.01.16_10.43.34.csv,3093,146.4938,0.00,43.46,0.9967,1.336396
5,longdress,static_B_2020.02.27_18.39.27.csv,4784,127.8602,0.00,30.92,0.9959,1.226222
6,loot,static_B_2020.02.27_18.39.27.csv,3524,136.2134,83.87,39.70,0.9950,1.055599
7,redandblack,static_B_2020.01.16_10.43.34.csv,1593,144.8716,50.12,17.36,0.9942,0.986827
8,soldier,static_B_2020.02.13_13.57.29.csv,1234,192.1636,0.00,59.15,0.9934,0.931424
9,longdress,static_B_2020.02.27_18.39.27.csv,4244,174.5747,42.08,37.00,0.9925,0.849448
10,loot,static_B_2020.01.16_10.43.34.csv,1233,202.1578,14.00,62.25,0.9917,0.750422
11,redandblack,static_B_2019.12.16_13.40.04.csv,1826,151.3961,43.23,27.84,0.9909,0.592583
12,soldier,static_B_2020.02.13_13.57.29.csv,2794,163.0326,100.00,48.01,0.9900,0.427661
13,longdress,static_B_2020.01.16_10.43.34.csv,213,165.4766,44.00,49.66,0.9892,0.249005
14,loot,static_B_2020.01.16_10.43.34.csv,1173,175.3273,60.17,46.88,0.9884,0.126769
15,redandblack,static_B_2020.02.27_18.39.27.csv,1004,191.0246,84.00,58.45,0.9875,0.080324
16,soldier,static_B_2020.02.27_18.39.27.csv,824,207.5830,100.00,64.82,0.9867,0.070268
17,longdress,static_B_2020.02.13_13.57.29.csv,2254,133.8454,12.19,-8.40,0.9858,0.064942
18,loot,static_B_2020.01.16_10.43.34.csv,813,191.4903,0.00,59.08,0.9850,0.078730
19,redandblack,static_B_2020.02.27_18.39.27.csv,3884,143.9736,3.06,-11.69,0.9842,0.072612
20,soldier,static_B_2020.02.13_13.57.29.csv,94,171.1626,34.60,11.86,0.9833,0.071771
21,longdress,static_B_2019.12.16_13.40.04.csv,1586,171.5199,0.00,52.39,0.9825,0.085490
22,loot,static_B_2020.02.27_18.39.27.csv,104,179.1923,0.00,53.65,0.9817,0.075899
