episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
1,longdress,static_B_2020.02.27_18.39.27.csv,5684,149.1810,100.00,46.93,0.9992,0.000000
2,loot,static_B_2019.12.16_13.40.04.csv,1346,162.9992,80.00,51.39,0.9984,0.000000
3,redandblack,static_B_2020.02.13_13.57.29.csv,2374,164.2251,33.26,17.40,0.9976,0.000000
4,soldier,static_B_2020.01.16_10.43.34.csv,3093,123.6667,0.00,37.99,0.9967,0.000000
5,longdress,static_B_2020.02.27_18.39.27.csv,4784,117.0883,68.00,36.47,0.9959,0.000000
6,loot,static_B_2020.02.27_18.39.27.csv,3524,127.8227,0.00,39.41,0.9951,0.000000
7,redandblack,static_B_2020.01.16_10.43.34.csv,1593,183.9906,0.00,57.77,0.9942,1.027476
8,soldier,static_B_2020.02.13_13.57.29.csv,1234,186.2847,0.00,59.76,0.9934,0.994697
9,longdress,static_B_2020.02.27_18.39.27.csv,4244,233.0040,0.00,51.08,0.9926,1.102784
10,loot,static_B_2020.01.16_10.43.34.csv,1233,162.0341,0.00,50.96,0.9917,1.103133
11,redandblack,static_B_2019.12.16_13.40.04.csv,1826,181.2344,40.33,28.57,0.9909,1.079943
12,soldier,static_B_2020.02.13_13.57.29.csv,2794,160.4691,86.00,51.45,0.9901,1.003181
13,longdress,static_B_2020.01.16_10.43.34.csv,213,168.5512,0.00,53.46,0.9892,1.025065
14,loot,static_B_2020.01.16_10.43.34.csv,1173,194.5992,81.16,57.26,0.9884,1.048570
15,redandblack,static_B_2020.02.27_18.39.27.csv,1004,253.8815,100.00,83.21,0.9876,1.040359
16,soldier,static_B_2020.02.27_18.39.27.csv,824,176.3187,100.00,55.79,0.9867,0.959477
17,longdress,static_B_2020.02.13_13.57.29.csv,2254,158.3261,0.00,-36.49,0.9859,0.996693
18,loot,static_B_2020.01.16_10.43.34.csv,813,155.4792,22.00,49.80,0.9851,0.854482
19,redandblack,static_B_2020.02.27_18.39.27.csv,3884,163.1118,18.62,-6.63,0.9842,0.841377
20,soldier,static_B_2020.02.13_13.57.29.csv,94,152.0041,47.61,24.94,0.9834,0.749342
21,longdress,static_B_2019.12.16_13.40.04.csv,1586,235.3386,68.00,76.52,0.9825,0.702701
22,loot,static_B_2020.02.27_18.39.27.csv,104,167.9459,0.00,52.78,0.9817,0.656611
23,redandblack,static_B_2020.01.16_10.43.34.csv,1473,171.0763,48.00,54.89,0.9809,0.544674
24,soldier,static_B_2020.02.27_18.39.27.csv,1484,148.0051,22.00,47.66,0.9800,0.470266
25,longdress,static_B_2020.02.27_18.39.27.csv,1244,180.5893,8.00,57.02,0.9792,0.344735
26,loot,static_B_2020.01.16_10.43.34.csv,453,165.1209,24.43,20.05,0.9784,0.269390
27,redandblack,static_B_2020.02.13_13.57.29.csv,1534,167.1571,2.78,4.13,0.9775,0.189156
28,soldier,static_B_2019.12.16_13.40.04.csv,386,198.7767,61.95,53.04,0.9767,0.121345
29,longdress,static_B_2020.02.27_18.39.27.csv,1664,140.5636,0.00,31.28,0.9759,0.071330
30,loot,static_B_2020.02.13_13.57.29.csv,2194,153.1312,89.04,48.85,0.9750,0.055770
31,redandblack,static_B_2020.02.27_18.39.27.csv,5742,151.0362,0.00,47.64,0.9742,0.043137
32,soldier,static_B_2019.12.16_13.40.04.csv,806,170.5457,80.35,47.88,0.9734,0.033550
33,longdress,static_B_2020.01.16_10.43.34.csv,2673,137.3394,0.00,42.46,0.9725,0.032178
34,loot,static_B_2020.02.27_18.39.27.csv,5024,180.4384,76.33,49.15,0.9717,0.024574
35,redandblack,static_B_2019.12.16_13.40.04.csv,1286,158.9124,100.00,49.84,0.9709,0.024784
36,soldier,static_B_2020.02.13_13.57.29.csv,694,155.0196,0.00,-32.70,0.9700,0.021679
37,longdress,static_B_2020.02.27_18.39.27.csv,2804,156.3133,0.00,47.89,0.9692,0.021664
38,loot,static_B_2020.01.16_10.43.34.csv,2913,151.4184,0.94,-1.92,0.9684,0.018266
39,redandblack,static_B_2020.01.16_10.43.34.csv,333,150.9585,0.00,47.10,0.9675,0.019851
40,soldier,static_B_2020.02.27_18.39.27.csv,1604,178.0666,0.00,-100.00,0.9667,0.018972
41,longdress,static_B_2020.02.27_18.39.27.csv,3764,191.0656,70.89,56.80,0.9658,0.017347
42,loot,static_B_2020.02.27_18.39.27.csv,2744,265.2362,0.00,87.37,0.9650,0.015552
43,redandblack,static_B_2020.02.27_18.39.27.csv,2924,121.0029,12.98,37.76,0.9642,0.017215
44,soldier,static_B_2020.02.27_18.39.27.csv,1064,138.2743,6.64,32.07,0.9633,0.019502
45,longdress,static_B_2020.02.27_18.39.27.csv,3104,192.0814,7.77,6.05,0.9625,0.017967
46,loot,static_B_2020.01.16_10.43.34.csv,933,193.7492,4.00,61.98,0.9617,0.017435
47,redandblack,static_B_2020.02.13_13.57.29.csv,154,146.4945,1.27,42.42,0.9608,0.018412
48,soldier,static_B_2020.01.16_10.43.34.csv,573,121.6536,70.55,32.49,0.9600,0.018571
49,longdress,static_B_2020.02.27_18.39.27.csv,2504,176.8492,72.41,52.93,0.9592,0.019467
50,loot,static_B_2020.02.27_18.39.27.csv,5204,194.7545,0.00,1.75,0.9583,0.017406
51,redandblack,static_B_2019.12.16_13.40.04.csv,326,144.6837,59.80,22.02,0.9575,0.019079
52,soldier,static_B_2019.12.16_13.40.04.csv,26,182.4876,10.21,50.62,0.9567,0.018452
53,longdress,static_B_2020.02.27_18.39.27.csv,2084,182.5409,82.67,53.61,0.9558,0.015769
54,loot,static_B_2020.02.27_18.39.27.csv,3404,170.7597,100.00,54.27,0.9550,0.013879
55,redandblack,static_B_2020.01.16_10.43.34.csv,1293,157.9710,37.71,41.48,0.9542,0.015062
56,soldier,static_B_2019.12.16_13.40.04.csv,1226,180.1914,61.38,40.03,0.9533,0.016494
57,longdress,static_B_2020.02.13_13.57.29.csv,1834,241.5023,16.69,72.01,0.9525,0.016906
58,loot,static_B_2020.02.13_13.57.29.csv,1654,235.4389,100.00,76.99,0.9516,0.017241
59,redandblack,static_B_2019.12.16_13.40.04.csv,1406,199.6831,0.00,63.33,0.9508,0.015200
60,soldier,static_B_2020.02.27_18.39.27.csv,3224,115.1121,14.00,36.93,0.9500,0.014712
61,longdress,static_B_2020.02.27_18.39.27.csv,4484,161.8756,50.06,31.16,0.9491,0.015350
62,loot,static_B_2019.12.16_13.40.04.csv,866,196.1687,66.39,46.32,0.9483,0.013261
63,redandblack,static_B_2020.02.13_13.57.29.csv,994,136.3151,0.00,-266.70,0.9475,0.012979
64,soldier,static_B_2020.02.13_13.57.29.csv,334,220.5964,30.62,36.10,0.9466,0.014185
65,longdress,static_B_2020.02.13_13.57.29.csv,1474,175.8182,63.93,55.81,0.9458,0.014609
66,loot,static_B_2020.01.16_10.43.34.csv,2733,226.1988,40.00,73.37,0.9450,0.014469
67,redandblack,static_B_2020.01.16_10.43.34.csv,1113,184.9297,56.85,52.36,0.9441,0.013510
68,soldier,static_B_2020.01.16_10.43.34.csv,33,172.7608,29.30,17.17,0.9433,0.015437
69,longdress,static_B_2020.02.27_18.39.27.csv,884,182.4610,71.34,45.40,0.9425,0.013400
70,loot,static_B_2020.02.13_13.57.29.csv,2314,206.5924,56.11,50.50,0.9416,0.014227
71,redandblack,static_B_2020.02.13_13.57.29.csv,1894,146.8576,0.00,45.50,0.9408,0.016141
