# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_013_s43\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_013_s43 --batch-size 128 --coverage-stride 60 --early-stop-patience 0 --epochs 3 --eps-decay-frac 0.5 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 128 --lam 1.0 --lr 5e-05 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 43 --segment-frames 10 --select-by qoe_quality --target-update 1500 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s10.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 3 epochs = 1251 episodes (~37530 env steps)
   segment: 10 frames/request (30 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s10.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=5e-05, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_013_s43\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_013_s43
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-10671.22
[ep    1] longdress    driving_B_2020.01.16_07.26.43.csv@1594  reward=QoE= -223.45 eps=0.999 loss=0.0000
[ep    2] loot         static_B_2020.02.14_13.21.26.csv@494   reward=QoE=   28.55 eps=0.997 loss=0.0000
[ep    3] redandblack  static_B_2019.12.16_13.40.04.csv@301   reward=QoE=   -7.29 eps=0.995 loss=0.0000
[ep    4] soldier      driving_B_2020.02.14_09.38.22.csv@324   reward=QoE= -183.40 eps=0.994 loss=0.0000
[ep    5] longdress    driving_B_2020.02.13_13.03.24.csv@1747  reward=QoE=    2.10 eps=0.992 loss=3.3960
[ep    6] loot         driving_B_2020.01.16_09.56.56.csv@104   reward=QoE=  -78.60 eps=0.991 loss=3.2467
[ep    7] redandblack  static_B_2020.02.14_13.21.26.csv@314   reward=QoE=   40.30 eps=0.989 loss=3.3951
[ep    8] soldier      static_B_2020.02.14_13.21.26.csv@194   reward=QoE=   15.33 eps=0.988 loss=2.6786
[ep    9] longdress    driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   37.39 eps=0.986 loss=2.5988
[ep   10] loot         static_B_2020.02.27_18.39.27.csv@5707  reward=QoE=   37.86 eps=0.985 loss=2.4170
[ep   11] redandblack  static_B_2020.02.27_18.39.27.csv@3367  reward=QoE=   32.86 eps=0.983 loss=2.4622
[ep   12] soldier      driving_B_2020.02.13_13.03.24.csv@2188  reward=QoE= -224.74 eps=0.982 loss=2.4366
[ep   13] longdress    driving_B_2019.12.16_12.27.05.csv@686   reward=QoE=  -44.81 eps=0.980 loss=2.8649
[ep   14] loot         driving_B_2019.12.16_12.27.05.csv@1106  reward=QoE=  -35.98 eps=0.979 loss=2.7295
[ep   15] redandblack  driving_B_2020.01.16_07.26.43.csv@1770  reward=QoE=  -72.08 eps=0.977 loss=2.7382
[ep   16] soldier      driving_B_2020.02.13_15.02.01.csv@1571  reward=QoE= -545.16 eps=0.976 loss=3.4410
[ep   17] longdress    driving_B_2019.12.17_07.32.39.csv@153   reward=QoE=  -10.46 eps=0.974 loss=3.7429
[ep   18] loot         driving_B_2020.02.13_13.03.24.csv@247   reward=QoE=  -50.24 eps=0.973 loss=3.1581
[ep   19] redandblack  static_B_2020.02.27_18.39.27.csv@1627  reward=QoE=   38.16 eps=0.971 loss=3.1695
[ep   20] soldier      driving_B_2019.12.16_12.27.05.csv@746   reward=QoE=   28.37 eps=0.970 loss=3.1363
[ep   21] longdress    driving_B_2019.12.16_12.27.05.csv@986   reward=QoE=   24.99 eps=0.968 loss=3.2110
[ep   22] loot         driving_B_2020.02.13_15.02.01.csv@851   reward=QoE=  -17.20 eps=0.967 loss=3.0576
