[ep   35] redandblack  static_B_2020.02.27_18.39.27.csv@2238  reward=QoE=   55.87 eps=0.947 loss=2.5960
[ep   36] soldier      static_B_2020.02.27_18.39.27.csv@3918  reward=QoE=   25.13 eps=0.945 loss=2.4362
[ep   37] longdress    driving_B_2019.12.16_12.27.05.csv@437   reward=QoE=  -78.55 eps=0.944 loss=2.5219
[ep   38] loot         driving_B_2020.01.16_07.26.43.csv@571   reward=QoE=  -32.41 eps=0.942 loss=2.2734
[ep   39] redandblack  static_B_2020.02.27_18.39.27.csv@5058  reward=QoE=   36.35 eps=0.941 loss=2.4790
[ep   40] soldier      static_B_2019.12.16_13.40.04.csv@60    reward=QoE=   41.61 eps=0.939 loss=2.5038
[ep   41] longdress    driving_B_2020.02.13_13.03.24.csv@1579  reward=QoE= -346.96 eps=0.938 loss=2.5350
[ep   42] loot         static_B_2020.02.14_13.21.26.csv@307   reward=QoE=   44.52 eps=0.936 loss=2.5727
[ep   43] redandblack  static_B_2019.12.16_13.40.04.csv@1904  reward=QoE=  -17.59 eps=0.935 loss=2.5229
[ep   44] soldier      static_B_2020.02.27_18.39.27.csv@4938  reward=QoE=   29.56 eps=0.933 loss=2.5858
[ep   45] longdress    static_B_2020.02.27_18.39.27.csv@3018  reward=QoE=  -23.56 eps=0.932 loss=2.3803
[ep   46] loot         driving_B_2019.12.17_07.32.39.csv@1226  reward=QoE=   34.62 eps=0.930 loss=2.3003
[ep   47] redandblack  driving_B_2020.02.13_15.02.01.csv@1341  reward=QoE= -215.78 eps=0.929 loss=2.3231
[ep   48] soldier      static_B_2019.12.16_13.40.04.csv@1440  reward=QoE=   40.49 eps=0.927 loss=2.4755
[ep   49] longdress    driving_B_2020.02.14_09.38.22.csv@961   reward=QoE=   23.39 eps=0.926 loss=2.2029
[ep   50] loot         static_B_2019.12.16_13.40.04.csv@1320  reward=QoE=   30.29 eps=0.924 loss=2.1337
[ep   51] redandblack  driving_B_2019.12.17_07.32.39.csv@1826  reward=QoE= -140.28 eps=0.923 loss=2.0053
[ep   52] soldier      driving_B_2020.02.13_15.02.01.csv@2481  reward=QoE= -228.33 eps=0.921 loss=2.4084
[ep   53] longdress    driving_B_2020.02.13_15.02.01.csv@2301  reward=QoE= -379.53 eps=0.920 loss=2.4435
[ep   54] loot         static_B_2020.02.27_18.39.27.csv@2058  reward=QoE=   41.54 eps=0.918 loss=2.3005
[ep   55] redandblack  static_B_2019.12.16_13.40.04.csv@780   reward=QoE=   23.57 eps=0.917 loss=2.2882
[ep   56] soldier      driving_B_2019.12.17_07.32.39.csv@446   reward=QoE=   27.09 eps=0.915 loss=2.4169
[ep   57] longdress    driving_B_2020.01.16_09.56.56.csv@1096  reward=QoE=  -61.53 eps=0.913 loss=2.3694
[ep   58] loot         driving_B_2020.02.13_15.02.01.csv@981   reward=QoE=  -54.76 eps=0.912 loss=2.3455
[ep   59] redandblack  driving_B_2020.02.13_13.03.24.csv@1759  reward=QoE=   38.27 eps=0.910 loss=2.3555
[ep   60] soldier      static_B_2020.02.27_18.39.27.csv@5238  reward=QoE=   45.95 eps=0.909 loss=2.1764
[ep   61] longdress    static_B_2020.02.27_18.39.27.csv@1878  reward=QoE=   22.28 eps=0.907 loss=2.1936
[ep   62] loot         static_B_2020.02.27_18.39.27.csv@1698  reward=QoE=   49.42 eps=0.906 loss=2.0518
[ep   63] redandblack  driving_B_2020.02.27_17.30.15.csv@720   reward=QoE= -305.31 eps=0.904 loss=2.2683
[ep   64] soldier      static_B_2020.02.27_18.39.27.csv@1578  reward=QoE=   23.83 eps=0.903 loss=2.2790
[ep   65] longdress    driving_B_2020.02.13_15.02.01.csv@501   reward=QoE=  -37.19 eps=0.901 loss=2.3293
[ep   66] loot         driving_B_2020.01.16_07.26.43.csv@1770  reward=QoE=  -89.84 eps=0.900 loss=2.2713
[ep   67] redandblack  driving_B_2019.12.17_07.32.39.csv@146   reward=QoE=  -10.68 eps=0.898 loss=2.1785
[ep   68] soldier      static_B_2020.02.27_18.39.27.csv@4758  reward=QoE=   36.30 eps=0.897 loss=2.0541
[ep   69] longdress    driving_B_2019.12.16_12.27.05.csv@1152  reward=QoE=  -18.43 eps=0.895 loss=2.2503
[ep   70] loot         static_B_2020.02.14_13.21.26.csv@187   reward=QoE=   45.31 eps=0.894 loss=2.0525
[ep   71] redandblack  driving_B_2020.01.16_12.10.03.csv@65    reward=QoE=   45.71 eps=0.892 loss=2.0666
[ep   72] soldier      driving_B_2020.02.14_09.38.22.csv@781   reward=QoE= -137.48 eps=0.891 loss=1.9485
[ep   73] longdress    driving_B_2020.02.13_15.02.01.csv@1161  reward=QoE=   16.05 eps=0.889 loss=1.8987
[ep   74] loot         driving_B_2020.02.13_15.02.01.csv@561   reward=QoE=  -23.65 eps=0.888 loss=2.2092
[ep   75] redandblack  driving_B_2020.02.14_12.58.17.csv@484   reward=QoE= -221.13 eps=0.886 loss=2.2082
[ep   76] soldier      static_B_2020.02.27_18.39.27.csv@1398  reward=QoE=   35.38 eps=0.885 loss=2.0886
[ep   77] longdress    driving_B_2020.02.14_09.38.22.csv@1478  reward=QoE=  -85.09 eps=0.883 loss=1.9776
[ep   78] loot         driving_B_2020.01.16_07.26.43.csv@151   reward=QoE= -205.80 eps=0.882 loss=2.2816
[ep   79] redandblack  driving_B_2020.02.14_09.38.22.csv@541   reward=QoE=   42.90 eps=0.880 loss=2.4891
