episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
1,longdress,static_B_2020.02.27_18.39.27.csv,5146,171.3647,90.00,44.62,0.9999,0.000000
2,loot,driving_B_2020.02.13_13.03.24.csv,794,88.8880,0.00,-27.44,0.9997,0.847709
3,redandblack,static_B_2020.02.27_18.39.27.csv,3706,108.4342,4.00,24.40,0.9996,0.825100
4,soldier,static_B_2020.02.27_18.39.27.csv,4966,149.2382,96.00,35.40,0.9994,0.670120
5,longdress,static_B_2020.02.14_13.21.26.csv,850,151.0756,51.16,22.51,0.9993,0.584799
6,loot,driving_B_2020.02.13_13.03.24.csv,254,52.0298,0.00,-24.42,0.9991,0.433530
7,redandblack,driving_B_2020.02.13_13.03.24.csv,1274,-16.9457,0.00,-122.81,0.9990,0.287928
8,soldier,driving_B_2019.12.16_11.49.59.csv,195,5.3918,0.00,-98.98,0.9989,0.267217
9,longdress,driving_B_2020.01.16_09.56.56.csv,795,119.6684,26.38,8.47,0.9987,0.286982
10,loot,static_B_2020.02.13_13.57.29.csv,1655,171.6863,81.03,41.57,0.9986,0.283569
11,redandblack,driving_B_2020.01.16_07.26.43.csv,1210,81.5423,9.51,-11.57,0.9984,0.259599
12,soldier,driving_B_2020.02.13_15.02.01.csv,2033,140.6131,83.02,32.35,0.9983,0.254668
13,longdress,driving_B_2019.12.16_14.23.32.csv,2012,140.2355,2.00,32.73,0.9982,0.244712
14,loot,driving_B_2020.02.14_09.38.22.csv,436,143.6141,31.78,16.94,0.9980,0.262005
15,redandblack,driving_B_2020.01.16_07.26.43.csv,1450,21.8075,0.00,-109.70,0.9979,0.249387
16,soldier,driving_B_2019.12.16_12.27.05.csv,893,172.0570,100.00,45.37,0.9977,0.271356
17,longdress,static_B_2020.02.14_13.21.26.csv,749,130.7298,30.00,28.06,0.9976,0.235745
18,loot,static_B_2019.12.16_13.40.04.csv,1825,111.2074,19.26,-3.01,0.9974,0.233325
19,redandblack,static_B_2019.12.16_13.40.04.csv,385,214.2085,100.00,63.87,0.9973,0.238338
20,soldier,static_B_2020.02.14_13.21.26.csv,29,152.7439,32.32,24.28,0.9972,0.244176
