episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
59,redandblack,static_B_2020.02.27_18.39.27.csv,4327,16.1607,16.16,16.16,0.9760,4.446974
60,soldier,driving_B_2019.12.17_07.32.39.csv,1533,-28.8430,-28.84,-28.84,0.9756,3.182258
61,longdress,driving_B_2019.12.17_07.32.39.csv,1953,-1.6763,-1.68,-1.68,0.9752,3.281219
62,loot,driving_B_2020.01.16_09.56.56.csv,584,43.3355,43.34,43.34,0.9748,3.819680
63,redandblack,static_B_2020.02.27_18.39.27.csv,3187,-49.6811,-49.68,-49.68,0.9744,3.402863
64,soldier,driving_B_2020.02.13_13.03.24.csv,1807,-721.6554,-721.66,-721.66,0.9740,4.457901
65,longdress,driving_B_2019.12.16_12.27.05.csv,326,-41.6206,-41.62,-41.62,0.9736,4.476101
66,loot,driving_B_2020.01.16_09.56.56.csv,1424,15.0363,15.04,15.04,0.9732,3.926514
67,redandblack,static_B_2020.02.27_18.39.27.csv,127,37.0828,37.08,37.08,0.9728,3.407549
68,soldier,driving_B_2020.01.16_09.56.56.csv,764,18.6980,18.70,18.70,0.9724,5.190933
69,longdress,driving_B_2020.02.14_09.38.22.csv,444,33.6126,33.61,33.61,0.9719,3.531056
70,loot,driving_B_2020.02.13_15.02.01.csv,911,22.5627,22.56,22.56,0.9715,3.232888
71,redandblack,static_B_2020.02.27_18.39.27.csv,3307,51.6719,51.67,51.67,0.9711,3.958608
72,soldier,driving_B_2019.12.16_12.27.05.csv,866,14.5652,14.57,14.57,0.9707,3.091131
73,longdress,driving_B_2020.02.13_15.02.01.csv,1871,-49.5251,-49.53,-49.53,0.9703,3.656965
74,loot,static_B_2020.02.27_18.39.27.csv,2887,47.7753,47.78,47.78,0.9699,3.740496
75,redandblack,driving_B_2020.02.13_13.03.24.csv,1147,-110.3540,-110.35,-110.35,0.9695,3.638999
76,soldier,static_B_2019.12.16_13.40.04.csv,1861,-283.8724,-283.87,-283.87,0.9691,4.025703
77,longdress,static_B_2020.02.27_18.39.27.csv,3247,23.8679,23.87,23.87,0.9687,3.727661
78,loot,static_B_2020.02.14_13.21.26.csv,14,28.3417,28.34,28.34,0.9683,3.437747
