# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s45\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s45 --batch-size 64 --coverage-stride 60 --early-stop-patience 3 --epochs 8 --eps-decay-frac 0.5 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 256 --lam 1.0 --lr 0.0003 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 45 --segment-frames 5 --select-by qoe_quality --target-update 6000 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s5.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 8 epochs = 3336 episodes (~200160 env steps)
   segment: 5 frames/request (60 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s5.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=0.0003, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s45\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s45
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-7611.99
[ep    1] longdress    driving_B_2019.12.17_07.32.39.csv@424   reward=QoE=  -35.48 eps=0.999 loss=0.0000
[ep    2] loot         driving_B_2020.02.13_13.03.24.csv@637   reward=QoE=  -85.53 eps=0.999 loss=0.7290
[ep    3] redandblack  driving_B_2020.02.14_09.38.22.csv@176   reward=QoE= -223.89 eps=0.998 loss=1.0745
[ep    4] soldier      driving_B_2020.02.14_09.38.22.csv@1256  reward=QoE=  -21.07 eps=0.998 loss=1.3996
[ep    5] longdress    driving_B_2020.02.13_13.03.24.csv@1177  reward=QoE= -155.00 eps=0.997 loss=1.1992
[ep    6] loot         driving_B_2019.12.16_12.27.05.csv@236   reward=QoE=    3.26 eps=0.997 loss=1.1892
[ep    7] redandblack  driving_B_2019.12.16_12.27.05.csv@896   reward=QoE=   22.99 eps=0.996 loss=1.1498
[ep    8] soldier      driving_B_2020.01.16_07.26.43.csv@325   reward=QoE= -270.31 eps=0.995 loss=1.1525
[ep    9] longdress    driving_B_2020.02.13_15.02.01.csv@775   reward=QoE=  -38.50 eps=0.995 loss=1.2212
[ep   10] loot         driving_B_2020.02.13_13.03.24.csv@277   reward=QoE=  -31.01 eps=0.994 loss=1.1881
[ep   11] redandblack  driving_B_2020.02.14_09.38.22.csv@56    reward=QoE= -128.28 eps=0.994 loss=1.2096
[ep   12] soldier      driving_B_2020.02.13_15.02.01.csv@1135  reward=QoE=  -62.77 eps=0.993 loss=1.1484
[ep   13] longdress    driving_B_2020.01.16_07.26.43.csv@565   reward=QoE=  -91.47 eps=0.993 loss=0.9962
[ep   14] loot         static_B_2020.02.27_18.39.27.csv@5197  reward=QoE=   30.80 eps=0.992 loss=0.9493
[ep   15] redandblack  driving_B_2020.01.16_09.56.56.csv@1562  reward=QoE=   34.85 eps=0.991 loss=0.9191
[ep   16] soldier      driving_B_2020.02.13_13.03.24.csv@697   reward=QoE= -154.75 eps=0.991 loss=0.8788
[ep   17] longdress    static_B_2019.12.16_13.40.04.csv@1113  reward=QoE= -522.08 eps=0.990 loss=1.1063
[ep   18] loot         static_B_2019.12.16_13.40.04.csv@333   reward=QoE=  -15.28 eps=0.990 loss=1.2800
[ep   19] redandblack  driving_B_2020.01.16_07.26.43.csv@1645  reward=QoE=  -50.51 eps=0.989 loss=1.2497
[ep   20] soldier      driving_B_2020.02.13_15.02.01.csv@655   reward=QoE=   -7.32 eps=0.989 loss=1.2530
[ep   21] longdress    driving_B_2020.02.13_15.02.01.csv@1495  reward=QoE= -176.93 eps=0.988 loss=1.1940
[ep   22] loot         static_B_2020.02.14_13.21.26.csv@429   reward=QoE=   28.99 eps=0.987 loss=1.0798
[ep   23] redandblack  driving_B_2020.01.16_07.26.43.csv@985   reward=QoE=  -30.42 eps=0.987 loss=1.0586
[ep   24] soldier      static_B_2019.12.16_13.40.04.csv@273   reward=QoE=  -10.05 eps=0.986 loss=1.2099
[ep   25] longdress    driving_B_2020.02.14_09.38.22.csv@1016  reward=QoE= -147.64 eps=0.986 loss=1.1328
[ep   26] loot         driving_B_2020.01.16_07.26.43.csv@1765  reward=QoE=  -87.53 eps=0.985 loss=1.0077
[ep   27] redandblack  driving_B_2020.02.13_15.02.01.csv@1975  reward=QoE=   -0.72 eps=0.985 loss=0.9401
[ep   28] soldier      static_B_2020.02.27_18.39.27.csv@3097  reward=QoE=  -59.34 eps=0.984 loss=0.9221
[ep   29] longdress    driving_B_2020.02.27_17.30.15.csv@160   reward=QoE= -757.80 eps=0.983 loss=1.1591
[ep   30] loot         driving_B_2020.02.14_09.38.22.csv@116   reward=QoE= -180.86 eps=0.983 loss=1.4145
[ep   31] redandblack  driving_B_2020.02.13_13.03.24.csv@1537  reward=QoE= -104.57 eps=0.982 loss=1.4498
[ep   32] soldier      static_B_2020.02.27_18.39.27.csv@1717  reward=QoE=   11.96 eps=0.982 loss=1.4499
[ep   33] longdress    static_B_2020.02.27_18.39.27.csv@1297  reward=QoE=   30.31 eps=0.981 loss=1.3469
[ep   34] loot         driving_B_2020.02.27_17.30.15.csv@720   reward=QoE= -219.86 eps=0.981 loss=1.2085
[ep   35] redandblack  static_B_2020.02.27_18.39.27.csv@697   reward=QoE=   41.47 eps=0.980 loss=1.1832
[ep   36] soldier      driving_B_2020.02.13_13.03.24.csv@457   reward=QoE= -107.43 eps=0.980 loss=1.4091
[ep   37] longdress    static_B_2020.02.14_13.21.26.csv@309   reward=QoE=   30.66 eps=0.979 loss=1.2590
[ep   38] loot         driving_B_2020.02.14_09.38.22.csv@1196  reward=QoE= -117.30 eps=0.978 loss=1.3503
[ep   39] redandblack  driving_B_2020.02.13_13.03.24.csv@1057  reward=QoE=  -63.35 eps=0.978 loss=1.4076
[ep   40] soldier      driving_B_2020.01.16_09.56.56.csv@1202  reward=QoE=   18.79 eps=0.977 loss=1.2280
[ep   41] longdress    driving_B_2020.02.14_09.38.22.csv@1136  reward=QoE= -182.30 eps=0.977 loss=1.0972
[ep   42] loot         static_B_2019.12.16_13.40.04.csv@453   reward=QoE=   21.54 eps=0.976 loss=1.0823
[ep   43] redandblack  static_B_2020.02.27_18.39.27.csv@2677  reward=QoE=   -2.34 eps=0.976 loss=0.9485
[ep   44] soldier      driving_B_2019.12.17_07.32.39.csv@2164  reward=QoE= -132.27 eps=0.975 loss=1.0072
[ep   45] longdress    static_B_2020.02.27_18.39.27.csv@5317  reward=QoE=   42.57 eps=0.974 loss=1.0761
[ep   46] loot         static_B_2020.02.27_18.39.27.csv@2737  reward=QoE=   24.74 eps=0.974 loss=1.2968
[ep   47] redandblack  static_B_2019.12.16_13.40.04.csv@1653  reward=QoE=   26.02 eps=0.973 loss=1.2556
[ep   48] soldier      static_B_2020.02.27_18.39.27.csv@877   reward=QoE=   26.02 eps=0.973 loss=0.9233
[ep   49] longdress    driving_B_2020.01.16_09.56.56.csv@602   reward=QoE=   31.75 eps=0.972 loss=1.0096
[ep   50] loot         driving_B_2020.02.14_12.58.17.csv@194   reward=QoE= -715.33 eps=0.972 loss=1.0890
[ep   51] redandblack  static_B_2019.12.16_13.40.04.csv@753   reward=QoE=   30.72 eps=0.971 loss=1.2616
[ep   52] soldier      driving_B_2020.02.13_13.03.24.csv@397   reward=QoE= -106.92 eps=0.970 loss=1.1509
[ep   53] longdress    driving_B_2020.02.13_15.02.01.csv@2754  reward=QoE= -128.70 eps=0.970 loss=1.2036
[ep   54] loot         driving_B_2019.12.17_07.32.39.csv@244   reward=QoE=  -45.58 eps=0.969 loss=1.2659
[ep   55] redandblack  driving_B_2020.02.14_09.38.22.csv@416   reward=QoE=  -81.40 eps=0.969 loss=1.3589
[ep   56] soldier      driving_B_2020.01.16_07.26.43.csv@145   reward=QoE= -273.79 eps=0.968 loss=1.1416
[ep   57] longdress    static_B_2020.02.27_18.39.27.csv@4057  reward=QoE=   41.45 eps=0.968 loss=1.1951
[ep   58] loot         driving_B_2019.12.17_07.32.39.csv@1264  reward=QoE=  -30.74 eps=0.967 loss=1.1505
[ep   59] redandblack  driving_B_2020.02.13_13.03.24.csv@1837  reward=QoE= -733.93 eps=0.966 loss=1.1776
[ep   60] soldier      static_B_2020.02.27_18.39.27.csv@3457  reward=QoE=   40.09 eps=0.966 loss=1.4035
[ep   61] longdress    driving_B_2020.02.13_15.02.01.csv@2275  reward=QoE= -169.22 eps=0.965 loss=1.0883
[ep   62] loot         driving_B_2020.01.16_09.56.56.csv@1382  reward=QoE=   30.97 eps=0.965 loss=1.2598
[ep   63] redandblack  driving_B_2020.01.16_12.10.03.csv@97    reward=QoE=   16.98 eps=0.964 loss=1.1050
[ep   64] soldier      driving_B_2020.02.14_12.58.17.csv@14    reward=QoE=  -45.86 eps=0.964 loss=1.2206
[ep   65] longdress    static_B_2020.02.27_18.39.27.csv@217   reward=QoE=   33.08 eps=0.963 loss=1.2703
[ep   66] loot         driving_B_2020.02.14_09.38.22.csv@836   reward=QoE=   25.05 eps=0.962 loss=1.3289
[ep   67] redandblack  driving_B_2020.02.14_09.38.22.csv@596   reward=QoE=   30.48 eps=0.962 loss=1.3126
[ep   68] soldier      static_B_2020.02.14_13.21.26.csv@249   reward=QoE=   27.64 eps=0.961 loss=1.1721
[ep   69] longdress    static_B_2020.02.27_18.39.27.csv@4837  reward=QoE=   37.41 eps=0.961 loss=1.1388
[ep   70] loot         static_B_2020.02.27_18.39.27.csv@3517  reward=QoE=   38.94 eps=0.960 loss=1.4924
[ep   71] redandblack  driving_B_2020.01.16_07.26.43.csv@1225  reward=QoE=  -65.04 eps=0.960 loss=1.3096
[ep   72] soldier      driving_B_2020.02.13_13.03.24.csv@2137  reward=QoE= -468.34 eps=0.959 loss=1.2995
[ep   73] longdress    static_B_2020.02.27_18.39.27.csv@817   reward=QoE=   36.66 eps=0.958 loss=1.1627
[ep   74] loot         driving_B_2020.02.13_15.02.01.csv@55    reward=QoE=   39.46 eps=0.958 loss=1.4648
[ep   75] redandblack  static_B_2020.02.27_18.39.27.csv@3697  reward=QoE=   22.86 eps=0.957 loss=1.1288
[ep   76] soldier      driving_B_2019.12.17_07.32.39.csv@1204  reward=QoE=  -45.72 eps=0.957 loss=1.1017
[ep   77] longdress    driving_B_2019.12.16_12.27.05.csv@1152  reward=QoE=  -23.20 eps=0.956 loss=1.4205
[ep   78] loot         driving_B_2019.12.16_12.27.05.csv@836   reward=QoE=   32.13 eps=0.956 loss=1.1061
[ep   79] redandblack  driving_B_2020.01.16_09.56.56.csv@1082  reward=QoE=  -51.09 eps=0.955 loss=1.1556
[ep   80] soldier      static_B_2020.02.27_18.39.27.csv@1897  reward=QoE=   35.02 eps=0.954 loss=0.8609
[ep   81] longdress    static_B_2020.02.27_18.39.27.csv@1477  reward=QoE=    2.74 eps=0.954 loss=1.2697
[ep   82] loot         static_B_2020.02.27_18.39.27.csv@937   reward=QoE=   35.74 eps=0.953 loss=0.9787
[ep   83] redandblack  driving_B_2020.02.13_13.03.24.csv@577   reward=QoE=  -53.48 eps=0.953 loss=1.1955
[ep   84] soldier      driving_B_2020.01.16_12.10.03.csv@217   reward=QoE=   37.08 eps=0.952 loss=1.4959
[ep   85] longdress    driving_B_2020.02.27_17.30.15.csv@40    reward=QoE= -377.00 eps=0.952 loss=1.1089
[ep   86] loot         driving_B_2020.02.13_13.03.24.csv@217   reward=QoE=  -70.61 eps=0.951 loss=1.2204
