# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s49\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s49 --batch-size 64 --coverage-stride 60 --early-stop-patience 3 --epochs 8 --eps-decay-frac 0.5 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 256 --lam 1.0 --lr 0.0003 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 49 --segment-frames 5 --select-by qoe_quality --target-update 6000 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s5.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 8 epochs = 3336 episodes (~200160 env steps)
   segment: 5 frames/request (60 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s5.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=0.0003, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s49\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s49
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-4498.29
[ep    1] longdress    static_B_2020.02.27_18.39.27.csv@3694  reward=QoE=   35.06 eps=0.999 loss=0.0000
[ep    2] loot         driving_B_2020.02.13_13.03.24.csv@417   reward=QoE=  -56.51 eps=0.999 loss=0.4060
[ep    3] redandblack  driving_B_2019.12.17_07.32.39.csv@1974  reward=QoE=   29.98 eps=0.998 loss=0.4222
[ep    4] soldier      static_B_2020.02.27_18.39.27.csv@214   reward=QoE=   28.09 eps=0.998 loss=0.2981
[ep    5] longdress    driving_B_2019.12.17_07.32.39.csv@774   reward=QoE=  -92.87 eps=0.997 loss=0.3260
[ep    6] loot         static_B_2019.12.16_13.40.04.csv@1101  reward=QoE=  -96.71 eps=0.997 loss=0.5066
[ep    7] redandblack  driving_B_2020.01.16_07.26.43.csv@1697  reward=QoE=  -50.74 eps=0.996 loss=0.7022
[ep    8] soldier      static_B_2020.02.27_18.39.27.csv@5254  reward=QoE=   20.81 eps=0.995 loss=0.6641
[ep    9] longdress    driving_B_2020.01.16_09.56.56.csv@503   reward=QoE=   30.74 eps=0.995 loss=0.6050
[ep   10] loot         driving_B_2020.02.13_15.02.01.csv@915   reward=QoE=   32.97 eps=0.994 loss=0.4454
[ep   11] redandblack  driving_B_2019.12.17_07.32.39.csv@1554  reward=QoE=  -26.12 eps=0.994 loss=0.6031
[ep   12] soldier      driving_B_2020.01.16_07.26.43.csv@617   reward=QoE= -109.36 eps=0.993 loss=0.4826
[ep   13] longdress    driving_B_2020.02.13_15.02.01.csv@1515  reward=QoE= -267.93 eps=0.993 loss=0.6357
[ep   14] loot         driving_B_2020.02.13_15.02.01.csv@2754  reward=QoE=  -66.71 eps=0.992 loss=0.7606
[ep   15] redandblack  driving_B_2020.01.16_07.26.43.csv@977   reward=QoE=  -69.29 eps=0.991 loss=0.8669
[ep   16] soldier      driving_B_2020.02.13_15.02.01.csv@555   reward=QoE=  -62.51 eps=0.991 loss=0.7667
[ep   17] longdress    driving_B_2020.01.16_09.56.56.csv@1570  reward=QoE=  -20.47 eps=0.990 loss=0.7353
[ep   18] loot         driving_B_2020.02.13_15.02.01.csv@15    reward=QoE=   38.30 eps=0.990 loss=0.7476
[ep   19] redandblack  driving_B_2020.01.16_07.26.43.csv@1277  reward=QoE=  -18.56 eps=0.989 loss=0.6397
[ep   20] soldier      driving_B_2020.02.14_09.38.22.csv@284   reward=QoE= -268.86 eps=0.989 loss=0.6318
[ep   21] longdress    driving_B_2020.02.13_15.02.01.csv@1575  reward=QoE= -521.98 eps=0.988 loss=0.9214
[ep   22] loot         static_B_2020.02.27_18.39.27.csv@4714  reward=QoE=   13.09 eps=0.987 loss=1.1155
[ep   23] redandblack  driving_B_2020.02.13_13.03.24.csv@117   reward=QoE=  -67.59 eps=0.987 loss=1.1075
[ep   24] soldier      driving_B_2019.12.17_07.32.39.csv@1074  reward=QoE=  -31.91 eps=0.986 loss=0.9256
[ep   25] longdress    driving_B_2020.02.13_13.03.24.csv@957   reward=QoE= -188.31 eps=0.986 loss=1.0061
[ep   26] loot         driving_B_2019.12.17_07.32.39.csv@474   reward=QoE=    8.76 eps=0.985 loss=0.9992
[ep   27] redandblack  driving_B_2019.12.16_12.27.05.csv@631   reward=QoE= -250.73 eps=0.985 loss=1.0111
[ep   28] soldier      driving_B_2020.02.13_15.02.01.csv@1275  reward=QoE= -156.16 eps=0.984 loss=0.9203
[ep   29] longdress    static_B_2019.12.16_13.40.04.csv@321   reward=QoE=  -67.97 eps=0.983 loss=1.0035
[ep   30] loot         driving_B_2020.01.16_09.56.56.csv@683   reward=QoE=  -69.43 eps=0.983 loss=1.1710
[ep   31] redandblack  driving_B_2020.02.13_13.03.24.csv@1317  reward=QoE= -111.31 eps=0.982 loss=1.0719
[ep   32] soldier      driving_B_2020.01.16_09.56.56.csv@1343  reward=QoE=   20.59 eps=0.982 loss=0.9601
[ep   33] longdress    driving_B_2019.12.16_12.27.05.csv@91    reward=QoE=  -57.35 eps=0.981 loss=0.9956
[ep   34] loot         driving_B_2020.01.16_07.26.43.csv@1097  reward=QoE=   12.56 eps=0.981 loss=0.9145
[ep   35] redandblack  driving_B_2019.12.16_12.27.05.csv@991   reward=QoE=   24.28 eps=0.980 loss=0.9894
[ep   36] soldier      driving_B_2020.02.14_09.38.22.csv@44    reward=QoE= -159.02 eps=0.980 loss=0.9615
[ep   37] longdress    driving_B_2020.02.14_12.58.17.csv@630   reward=QoE=  -74.72 eps=0.979 loss=0.9230
[ep   38] loot         static_B_2020.02.27_18.39.27.csv@814   reward=QoE=   35.99 eps=0.978 loss=0.9220
[ep   39] redandblack  driving_B_2020.02.27_17.30.15.csv@720   reward=QoE= -283.10 eps=0.978 loss=0.9120
[ep   40] soldier      static_B_2019.12.16_13.40.04.csv@141   reward=QoE=   35.37 eps=0.977 loss=1.0211
[ep   41] longdress    driving_B_2020.02.13_15.02.01.csv@855   reward=QoE=  -30.44 eps=0.977 loss=1.0604
[ep   42] loot         driving_B_2020.02.14_09.38.22.csv@944   reward=QoE=   18.93 eps=0.976 loss=0.9880
[ep   43] redandblack  driving_B_2019.12.17_07.32.39.csv@1674  reward=QoE= -128.95 eps=0.976 loss=0.9949
[ep   44] soldier      driving_B_2019.12.17_07.32.39.csv@2154  reward=QoE= -154.10 eps=0.975 loss=1.0044
[ep   45] longdress    driving_B_2020.02.13_15.02.01.csv@1155  reward=QoE=   -4.14 eps=0.974 loss=0.8868
[ep   46] loot         driving_B_2020.02.14_09.38.22.csv@224   reward=QoE=  -83.13 eps=0.974 loss=0.9348
[ep   47] redandblack  driving_B_2020.02.13_15.02.01.csv@2235  reward=QoE=   40.76 eps=0.973 loss=0.9574
[ep   48] soldier      driving_B_2020.01.16_09.56.56.csv@23    reward=QoE=  -74.01 eps=0.973 loss=0.9381
[ep   49] longdress    static_B_2020.02.27_18.39.27.csv@3334  reward=QoE=    5.27 eps=0.972 loss=0.8914
[ep   50] loot         static_B_2020.02.27_18.39.27.csv@5674  reward=QoE=   36.82 eps=0.972 loss=0.8231
[ep   51] redandblack  driving_B_2020.02.13_13.03.24.csv@1497  reward=QoE=  -72.94 eps=0.971 loss=0.8935
[ep   52] soldier      static_B_2019.12.16_13.40.04.csv@621   reward=QoE=  -61.20 eps=0.970 loss=0.8287
[ep   53] longdress    static_B_2020.02.14_13.21.26.csv@425   reward=QoE=   25.03 eps=0.970 loss=0.8662
[ep   54] loot         driving_B_2020.01.16_09.56.56.csv@83    reward=QoE=  -53.18 eps=0.969 loss=0.8678
[ep   55] redandblack  static_B_2019.12.16_13.40.04.csv@1821  reward=QoE=   11.42 eps=0.969 loss=0.7564
[ep   56] soldier      driving_B_2020.02.14_09.38.22.csv@644   reward=QoE=   33.02 eps=0.968 loss=0.8553
[ep   57] longdress    static_B_2020.02.27_18.39.27.csv@3034  reward=QoE=    1.37 eps=0.968 loss=0.7650
[ep   58] loot         driving_B_2019.12.17_07.32.39.csv@1254  reward=QoE=  -39.50 eps=0.967 loss=0.7402
[ep   59] redandblack  driving_B_2020.02.13_15.02.01.csv@615   reward=QoE=  -99.31 eps=0.966 loss=0.8289
[ep   60] soldier      driving_B_2020.02.27_17.30.15.csv@409   reward=QoE= -644.92 eps=0.966 loss=0.8503
[ep   61] longdress    driving_B_2020.02.13_15.02.01.csv@675   reward=QoE=   16.00 eps=0.965 loss=1.0861
[ep   62] loot         driving_B_2020.02.14_09.38.22.csv@764   reward=QoE=  -15.91 eps=0.965 loss=1.0186
[ep   63] redandblack  driving_B_2019.12.17_07.32.39.csv@174   reward=QoE=  -24.38 eps=0.964 loss=0.8871
[ep   64] soldier      driving_B_2020.02.13_15.02.01.csv@2655  reward=QoE=  -54.41 eps=0.964 loss=0.8541
[ep   65] longdress    driving_B_2020.02.14_12.58.17.csv@450   reward=QoE= -465.57 eps=0.963 loss=0.9108
[ep   66] loot         static_B_2020.02.27_18.39.27.csv@2014  reward=QoE=    9.61 eps=0.962 loss=1.0144
[ep   67] redandblack  static_B_2020.02.27_18.39.27.csv@1534  reward=QoE=   29.42 eps=0.962 loss=1.0015
[ep   68] soldier      static_B_2020.02.27_18.39.27.csv@754   reward=QoE=   34.81 eps=0.961 loss=0.9267
[ep   69] longdress    static_B_2020.02.27_18.39.27.csv@3814  reward=QoE=   -2.52 eps=0.961 loss=0.9699
[ep   70] loot         static_B_2020.02.27_18.39.27.csv@4414  reward=QoE=   45.05 eps=0.960 loss=0.9224
[ep   71] redandblack  static_B_2020.02.27_18.39.27.csv@4894  reward=QoE=  -48.93 eps=0.960 loss=0.8906
[ep   72] soldier      driving_B_2019.12.17_07.32.39.csv@954   reward=QoE= -239.78 eps=0.959 loss=1.0182
[ep   73] longdress    static_B_2020.02.14_13.21.26.csv@185   reward=QoE=   40.84 eps=0.958 loss=0.8241
[ep   74] loot         driving_B_2020.01.16_12.10.03.csv@100   reward=QoE=   23.17 eps=0.958 loss=0.8347
[ep   75] redandblack  driving_B_2020.02.14_12.58.17.csv@90    reward=QoE= -135.23 eps=0.957 loss=0.8168
[ep   76] soldier      driving_B_2020.01.16_07.26.43.csv@1637  reward=QoE= -128.98 eps=0.957 loss=0.8927
[ep   77] longdress    static_B_2020.02.27_18.39.27.csv@4834  reward=QoE=   38.02 eps=0.956 loss=0.9459
[ep   78] loot         driving_B_2019.12.17_07.32.39.csv@1854  reward=QoE=  -52.03 eps=0.956 loss=0.9300
[ep   79] redandblack  driving_B_2020.02.14_12.58.17.csv@510   reward=QoE= -153.41 eps=0.955 loss=0.9058
[ep   80] soldier      driving_B_2020.02.13_15.02.01.csv@2535  reward=QoE=  -47.44 eps=0.954 loss=0.8973
