# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42 --coverage-stride 60 --epochs 8 --eval-every 100 --lam 1.0 --lr 0.0001 --mu 4.3 --no-lstm-pred --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 42 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 199 episodes/epoch x 8 epochs = 1592 episodes (~477600 env steps)
   state_dim: 22 | actions: 6 | feature_spec: ['buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 4.3*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42
==========================================================================================
[eval @ ep 0] untrained: reward=128.90 qoe=0.0 qoe_q=-31.0
[ep   32] soldier      static_B_2020.02.27_18.39.27.csv@48    reward=  -11.99 qoe=   0.0 qoe_q=  -94.9 eps=0.968 loss=0.1722
[ep   33] longdress    static_B_2020.02.14_13.21.26.csv@764   reward=   -2.08 qoe=   0.0 qoe_q=  -84.0 eps=0.967 loss=0.1665
[ep   34] loot         static_B_2019.12.16_13.40.04.csv@542   reward=  -10.60 qoe=   0.0 qoe_q= -132.8 eps=0.966 loss=0.1665
[ep   35] redandblack  static_B_2019.12.16_13.40.04.csv@1502  reward=  -28.59 qoe=   0.0 qoe_q= -158.0 eps=0.965 loss=0.1628
[ep   36] soldier      static_B_2019.12.16_13.40.04.csv@1682  reward=  -32.68 qoe=   0.0 qoe_q= -121.9 eps=0.964 loss=0.1588
[ep   37] longdress    static_B_2019.12.16_13.40.04.csv@482   reward=  -16.54 qoe=   0.0 qoe_q= -155.1 eps=0.963 loss=0.1597
[ep   38] loot         static_B_2020.02.27_18.39.27.csv@348   reward=  -30.56 qoe=   0.0 qoe_q= -164.7 eps=0.962 loss=0.1552
[ep   39] redandblack  static_B_2020.02.14_13.21.26.csv@824   reward=  -11.44 qoe=   0.0 qoe_q=  -96.3 eps=0.961 loss=0.1544
[ep   40] soldier      static_B_2020.02.13_13.57.29.csv@1638  reward=  -61.03 qoe=   0.0 qoe_q= -194.2 eps=0.960 loss=0.1568
[ep   41] longdress    static_B_2020.02.13_13.57.29.csv@198   reward=  -38.25 qoe=   0.0 qoe_q= -182.2 eps=0.959 loss=0.1632
[ep   42] loot         static_B_2019.12.16_13.40.04.csv@422   reward=  -42.35 qoe=   0.0 qoe_q= -137.6 eps=0.958 loss=0.1709
[ep   43] redandblack  static_B_2020.02.14_13.21.26.csv@164   reward=  -37.17 qoe=   0.0 qoe_q= -150.2 eps=0.957 loss=0.1664
[ep   44] soldier      static_B_2020.02.13_13.57.29.csv@2238  reward=  -54.39 qoe=   0.0 qoe_q= -189.4 eps=0.956 loss=0.1732
[ep   45] longdress    static_B_2020.02.13_13.57.29.csv@2658  reward=  -18.64 qoe=   0.0 qoe_q=  -98.9 eps=0.955 loss=0.1696
[ep   46] loot         static_B_2020.02.27_18.39.27.csv@5148  reward=   -8.47 qoe=   0.0 qoe_q= -115.2 eps=0.954 loss=0.1735
[ep   47] redandblack  static_B_2020.02.13_13.57.29.csv@18    reward=  -23.68 qoe=   0.0 qoe_q=  -99.1 eps=0.953 loss=0.1583
[ep   48] soldier      static_B_2020.02.13_13.57.29.csv@858   reward= -107.84 qoe=   0.0 qoe_q= -176.1 eps=0.952 loss=0.1647
[ep   49] longdress    static_B_2019.12.16_13.40.04.csv@62    reward=  -14.96 qoe=   0.0 qoe_q= -111.4 eps=0.951 loss=0.1619
[ep   50] loot         static_B_2020.02.13_13.57.29.csv@1878  reward=  -62.55 qoe=   0.0 qoe_q= -251.4 eps=0.950 loss=0.1579
[ep   51] redandblack  static_B_2020.02.27_18.39.27.csv@1428  reward=   -4.84 qoe=   0.0 qoe_q=  -92.2 eps=0.949 loss=0.1707
[ep   52] soldier      static_B_2020.02.27_18.39.27.csv@4908  reward=  -40.40 qoe=   0.0 qoe_q= -156.1 eps=0.948 loss=0.1657
[ep   53] longdress    static_B_2020.02.13_13.57.29.csv@1818  reward=  -58.64 qoe=   0.0 qoe_q= -169.3 eps=0.947 loss=0.1659
[ep   54] loot         static_B_2019.12.16_13.40.04.csv@182   reward=  -22.51 qoe=   0.0 qoe_q= -124.9 eps=0.946 loss=0.1638
[ep   55] redandblack  static_B_2020.02.13_13.57.29.csv@1698  reward=  -67.60 qoe=   0.0 qoe_q= -158.2 eps=0.945 loss=0.1636
[ep   56] soldier      static_B_2020.02.13_13.57.29.csv@1398  reward=  -51.12 qoe=   0.0 qoe_q= -203.5 eps=0.944 loss=0.1669
[ep   57] longdress    static_B_2020.02.13_13.57.29.csv@2418  reward= -182.26 qoe=   0.0 qoe_q= -475.1 eps=0.943 loss=0.1742
[ep   58] loot         static_B_2020.02.13_13.57.29.csv@1938  reward=  -46.25 qoe=   0.0 qoe_q= -219.9 eps=0.942 loss=0.1757
[ep   59] redandblack  static_B_2020.02.27_18.39.27.csv@4788  reward=    4.97 qoe=   0.0 qoe_q=  -86.8 eps=0.941 loss=0.1596
[ep   60] soldier      static_B_2020.02.14_13.21.26.csv@104   reward=   -6.81 qoe=   0.0 qoe_q= -139.7 eps=0.940 loss=0.1696
[ep   61] longdress    static_B_2020.02.27_18.39.27.csv@2208  reward=  -22.54 qoe=   0.0 qoe_q= -104.5 eps=0.939 loss=0.1740
[ep   62] loot         static_B_2020.02.13_13.57.29.csv@1998  reward=  -16.02 qoe=   0.0 qoe_q= -140.1 eps=0.938 loss=0.1772
[ep   63] redandblack  static_B_2020.02.27_18.39.27.csv@5628  reward=  -42.29 qoe=   0.0 qoe_q= -168.0 eps=0.937 loss=0.1816
[ep   64] soldier      static_B_2020.02.13_13.57.29.csv@258   reward=  -47.50 qoe=   0.0 qoe_q= -125.4 eps=0.936 loss=0.1713
[ep   65] longdress    static_B_2020.02.27_18.39.27.csv@1908  reward=  -13.62 qoe=   0.0 qoe_q=  -94.6 eps=0.935 loss=0.1756
[ep   66] loot         static_B_2020.02.27_18.39.27.csv@5448  reward=  -28.71 qoe=   0.0 qoe_q= -110.7 eps=0.934 loss=0.1903
[ep   67] redandblack  static_B_2020.02.13_13.57.29.csv@2778  reward=  -28.95 qoe=   0.0 qoe_q= -141.6 eps=0.933 loss=0.1901
[ep   68] soldier      static_B_2019.12.16_13.40.04.csv@1322  reward=  -56.10 qoe=   0.0 qoe_q= -139.4 eps=0.932 loss=0.1769
[ep   69] longdress    static_B_2020.02.27_18.39.27.csv@3948  reward=  -10.57 qoe=   0.0 qoe_q=  -90.7 eps=0.931 loss=0.1785
[ep   70] loot         static_B_2019.12.16_13.40.04.csv@1382  reward=  -84.26 qoe=   0.0 qoe_q= -244.7 eps=0.930 loss=0.1741
[ep   71] redandblack  static_B_2019.12.16_13.40.04.csv@362   reward=  -19.25 qoe=   0.0 qoe_q= -109.5 eps=0.929 loss=0.1778
[ep   72] soldier      static_B_2020.02.13_13.57.29.csv@618   reward= -102.11 qoe=   0.0 qoe_q= -232.2 eps=0.928 loss=0.1753
[ep   73] longdress    static_B_2020.02.13_13.57.29.csv@978   reward= -197.60 qoe=   0.0 qoe_q= -452.4 eps=0.927 loss=0.1917
[ep   74] loot         static_B_2020.02.27_18.39.27.csv@4308  reward=  -12.58 qoe=   0.0 qoe_q=  -97.1 eps=0.926 loss=0.1870
[ep   75] redandblack  static_B_2020.02.13_13.57.29.csv@1098  reward=  -41.15 qoe=   0.0 qoe_q= -123.2 eps=0.925 loss=0.1819
[ep   76] soldier      static_B_2020.02.27_18.39.27.csv@228   reward=  -24.24 qoe=   0.0 qoe_q= -126.6 eps=0.924 loss=0.1814
[ep   77] longdress    static_B_2020.02.27_18.39.27.csv@5688  reward=   -3.47 qoe=   0.0 qoe_q=  -87.9 eps=0.923 loss=0.1944
[ep   78] loot         static_B_2020.02.14_13.21.26.csv@344   reward=  -11.74 qoe=   0.0 qoe_q=  -96.8 eps=0.922 loss=0.1895
[ep   79] redandblack  static_B_2020.02.27_18.39.27.csv@2268  reward=   -3.86 qoe=   0.0 qoe_q=  -91.7 eps=0.921 loss=0.1813
[ep   80] soldier      static_B_2020.02.27_18.39.27.csv@2508  reward=  -15.43 qoe=   0.0 qoe_q= -118.0 eps=0.920 loss=0.1900
[ep   81] longdress    static_B_2020.02.27_18.39.27.csv@3828  reward=  -78.80 qoe=   0.0 qoe_q= -244.4 eps=0.919 loss=0.1828
[ep   82] loot         static_B_2020.02.13_13.57.29.csv@1038  reward=  -29.12 qoe=   0.0 qoe_q= -111.1 eps=0.918 loss=0.1872
[ep   83] redandblack  static_B_2020.02.27_18.39.27.csv@2988  reward=  -16.14 qoe=   0.0 qoe_q= -128.1 eps=0.917 loss=0.1860
[ep   84] soldier      static_B_2020.02.27_18.39.27.csv@888   reward=  -16.47 qoe=   0.0 qoe_q= -123.3 eps=0.916 loss=0.1887
[ep   85] longdress    static_B_2020.02.27_18.39.27.csv@5508  reward=   -6.69 qoe=   0.0 qoe_q= -114.7 eps=0.915 loss=0.1972
[ep   86] loot         static_B_2020.02.27_18.39.27.csv@2748  reward=  -26.55 qoe=   0.0 qoe_q= -104.8 eps=0.914 loss=0.1888
[ep   87] redandblack  static_B_2020.02.13_13.57.29.csv@918   reward=  -86.09 qoe=   0.0 qoe_q= -156.9 eps=0.913 loss=0.1985
[ep   88] soldier      static_B_2020.02.27_18.39.27.csv@5028  reward=  -43.54 qoe=   0.0 qoe_q= -123.8 eps=0.912 loss=0.1827
[ep   89] longdress    static_B_2020.02.13_13.57.29.csv@1458  reward=  -62.06 qoe=   0.0 qoe_q= -132.1 eps=0.911 loss=0.1886
[ep   90] loot         static_B_2020.02.14_13.21.26.csv@284   reward=  -15.98 qoe=   0.0 qoe_q=  -97.9 eps=0.910 loss=0.1925
[ep   91] redandblack  static_B_2019.12.16_13.40.04.csv@1904  reward=   -7.08 qoe=   0.0 qoe_q=  -91.8 eps=0.909 loss=0.1850
[ep   92] soldier      static_B_2020.02.13_13.57.29.csv@1758  reward=  -71.70 qoe=   0.0 qoe_q= -218.6 eps=0.909 loss=0.1886
[ep   93] longdress    static_B_2020.02.27_18.39.27.csv@408   reward=  -15.31 qoe=   0.0 qoe_q=  -99.3 eps=0.908 loss=0.2015
[ep   94] loot         static_B_2020.02.14_13.21.26.csv@404   reward=  -46.23 qoe=   0.0 qoe_q= -131.5 eps=0.907 loss=0.1941
[ep   95] redandblack  static_B_2020.02.27_18.39.27.csv@1308  reward=  -18.39 qoe=   0.0 qoe_q= -131.0 eps=0.906 loss=0.1973
[ep   96] soldier      static_B_2020.02.13_13.57.29.csv@558   reward=  -23.89 qoe=   0.0 qoe_q= -132.8 eps=0.905 loss=0.2012
[ep   97] longdress    static_B_2019.12.16_13.40.04.csv@122   reward=   -1.06 qoe=   0.0 qoe_q=  -94.9 eps=0.904 loss=0.2063
[ep   98] loot         static_B_2020.02.27_18.39.27.csv@2568  reward=  -43.70 qoe=   0.0 qoe_q= -175.6 eps=0.903 loss=0.2000
[ep   99] redandblack  static_B_2020.02.27_18.39.27.csv@1128  reward= -104.65 qoe=   0.0 qoe_q= -209.9 eps=0.902 loss=0.2045
[ep  100] soldier      static_B_2020.02.27_18.39.27.csv@4968  reward=  -21.36 qoe=   0.0 qoe_q= -118.5 eps=0.901 loss=0.2032
    [eval @ ep 100] reward=148.11 qoe=0.0 qoe_q=-31.1 mean_q=0.956 stall=28.7s  <-- best (saved)
[ep  101] longdress    static_B_2020.02.27_18.39.27.csv@528   reward= -117.92 qoe=   0.0 qoe_q= -485.6 eps=0.900 loss=0.2099
[ep  102] loot         static_B_2019.12.16_13.40.04.csv@2     reward=  -23.97 qoe=   0.0 qoe_q= -119.8 eps=0.899 loss=0.1974
[ep  103] redandblack  static_B_2020.02.27_18.39.27.csv@3048  reward=  -30.89 qoe=   0.0 qoe_q= -108.7 eps=0.898 loss=0.2081
[ep  104] soldier      static_B_2020.02.27_18.39.27.csv@5268  reward=  -12.16 qoe=   0.0 qoe_q=  -97.0 eps=0.897 loss=0.2233
[ep  105] longdress    static_B_2020.02.27_18.39.27.csv@3228  reward=  -26.52 qoe=   0.0 qoe_q= -147.6 eps=0.896 loss=0.2131
[ep  106] loot         static_B_2020.02.13_13.57.29.csv@1338  reward=  -50.50 qoe=   0.0 qoe_q= -126.4 eps=0.895 loss=0.2112
[ep  107] redandblack  static_B_2020.02.13_13.57.29.csv@1218  reward=   -5.39 qoe=   0.0 qoe_q= -112.8 eps=0.894 loss=0.2056
[ep  108] soldier      static_B_2020.02.27_18.39.27.csv@2148  reward=    1.25 qoe=   0.0 qoe_q=  -95.0 eps=0.893 loss=0.2052
[ep  109] longdress    static_B_2020.02.14_13.21.26.csv@224   reward=    9.41 qoe=   0.0 qoe_q=  -81.4 eps=0.892 loss=0.2142
[ep  110] loot         static_B_2019.12.16_13.40.04.csv@782   reward=    0.72 qoe=   0.0 qoe_q= -109.7 eps=0.891 loss=0.2092
[ep  111] redandblack  static_B_2020.02.27_18.39.27.csv@4428  reward=    4.58 qoe=   0.0 qoe_q=  -81.7 eps=0.890 loss=0.2268
