# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_001_s43\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_001_s43 --coverage-stride 60 --epochs 8 --eval-every 100 --eval-seeds 42,43,44 --lam 1.0 --lr 0.0001 --mu 2.0 --playback-rate-min 0.9 --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 43 --segment-frames 5 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 237 episodes/epoch x 8 epochs = 1896 episodes (~113760 env steps)
   segment: 5 frames/request (60 decisions/episode) | playback-rate-min: 0.9 | eval seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 2.0*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_001_s43\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_001_s43
==========================================================================================
[eval @ ep 0] untrained: reward=60.59 qoe=29.6 qoe_q=-46.6
[ep    1] longdress    static_B_2020.02.27_18.39.27.csv@5684  reward=  163.07 qoe= 100.0 qoe_q=   37.0 eps=0.999 loss=0.0000
[ep    2] loot         static_B_2019.12.16_13.40.04.csv@1346  reward=  160.29 qoe=  73.7 qoe_q=   27.3 eps=0.998 loss=1.1228
[ep    3] redandblack  static_B_2020.02.13_13.57.29.csv@2374  reward=  152.94 qoe=  10.7 qoe_q=   -2.6 eps=0.998 loss=0.9327
[ep    4] soldier      static_B_2020.01.16_10.43.34.csv@3093  reward=  162.22 qoe= 100.0 qoe_q=   37.4 eps=0.997 loss=0.5809
[ep    5] longdress    static_B_2020.02.27_18.39.27.csv@4784  reward=  159.77 qoe= 100.0 qoe_q=   37.6 eps=0.996 loss=0.1673
[ep    6] loot         static_B_2020.02.27_18.39.27.csv@3524  reward=  188.51 qoe=  81.8 qoe_q=   45.1 eps=0.995 loss=0.0713
[ep    7] redandblack  static_B_2020.01.16_10.43.34.csv@1593  reward=  174.26 qoe=  70.1 qoe_q=   30.0 eps=0.994 loss=0.0632
[ep    8] soldier      static_B_2020.02.13_13.57.29.csv@1234  reward=  153.25 qoe=  77.8 qoe_q=   28.8 eps=0.993 loss=0.0558
[ep    9] longdress    static_B_2020.02.27_18.39.27.csv@4244  reward=  168.19 qoe=  59.1 qoe_q=   18.3 eps=0.992 loss=0.0656
[ep   10] loot         static_B_2020.01.16_10.43.34.csv@1233  reward=  189.29 qoe=  84.0 qoe_q=   49.8 eps=0.992 loss=0.0538
[ep   11] redandblack  static_B_2019.12.16_13.40.04.csv@1826  reward=  169.41 qoe=  40.7 qoe_q=   11.3 eps=0.991 loss=0.0668
[ep   12] soldier      static_B_2020.02.13_13.57.29.csv@2794  reward=  177.24 qoe= 100.0 qoe_q=   44.1 eps=0.990 loss=0.0580
[ep   13] longdress    static_B_2020.01.16_10.43.34.csv@213   reward=  182.39 qoe=  80.0 qoe_q=   46.6 eps=0.989 loss=0.0460
[ep   14] loot         static_B_2020.01.16_10.43.34.csv@1173  reward=  146.40 qoe=  64.3 qoe_q=   23.0 eps=0.988 loss=0.0496
[ep   15] redandblack  static_B_2020.02.27_18.39.27.csv@1004  reward=  180.16 qoe= 100.0 qoe_q=   46.6 eps=0.987 loss=0.0416
[ep   16] soldier      static_B_2020.02.27_18.39.27.csv@824   reward=  183.74 qoe= 100.0 qoe_q=   48.2 eps=0.987 loss=0.0455
[ep   17] longdress    static_B_2020.02.13_13.57.29.csv@2254  reward=  154.65 qoe=   0.0 qoe_q=  -35.7 eps=0.986 loss=0.0542
[ep   18] loot         static_B_2020.01.16_10.43.34.csv@813   reward=  179.72 qoe=  68.0 qoe_q=   45.3 eps=0.985 loss=0.0505
[ep   19] redandblack  static_B_2020.02.27_18.39.27.csv@3884  reward=  162.15 qoe=   8.0 qoe_q=  -14.8 eps=0.984 loss=0.0460
[ep   20] soldier      static_B_2020.02.13_13.57.29.csv@94    reward=  145.23 qoe=  35.9 qoe_q=   -4.3 eps=0.983 loss=0.0568
[ep   21] longdress    static_B_2019.12.16_13.40.04.csv@1586  reward=  153.15 qoe=  92.0 qoe_q=   36.8 eps=0.982 loss=0.0536
[ep   22] loot         static_B_2020.02.27_18.39.27.csv@104   reward=  170.77 qoe=  46.0 qoe_q=   42.0 eps=0.982 loss=0.0509
[ep   23] redandblack  static_B_2020.01.16_10.43.34.csv@1473  reward=  156.87 qoe=  20.9 qoe_q=    2.6 eps=0.981 loss=0.0474
[ep   24] soldier      static_B_2020.02.27_18.39.27.csv@1484  reward=  195.72 qoe=  37.1 qoe_q=    3.3 eps=0.980 loss=0.0503
[ep   25] longdress    static_B_2020.02.27_18.39.27.csv@1244  reward=  181.80 qoe= 100.0 qoe_q=   45.0 eps=0.979 loss=0.0526
[ep   26] loot         static_B_2020.01.16_10.43.34.csv@453   reward=  144.23 qoe=  20.8 qoe_q=   -3.7 eps=0.978 loss=0.0520
[ep   27] redandblack  static_B_2020.02.13_13.57.29.csv@1534  reward=  114.19 qoe=   0.0 qoe_q=  -19.9 eps=0.977 loss=0.0571
[ep   28] soldier      static_B_2019.12.16_13.40.04.csv@386   reward=  159.02 qoe=  80.1 qoe_q=   29.7 eps=0.977 loss=0.0617
[ep   29] longdress    static_B_2020.02.27_18.39.27.csv@1664  reward=  172.74 qoe=  60.0 qoe_q=   22.5 eps=0.976 loss=0.0616
[ep   30] loot         static_B_2020.02.13_13.57.29.csv@2194  reward=  113.82 qoe=  62.6 qoe_q=    9.0 eps=0.975 loss=0.0613
[ep   31] redandblack  static_B_2020.02.27_18.39.27.csv@5742  reward=  181.01 qoe=  70.5 qoe_q=   34.2 eps=0.974 loss=0.0509
[ep   32] soldier      static_B_2019.12.16_13.40.04.csv@806   reward=  149.53 qoe=  64.3 qoe_q=   18.0 eps=0.973 loss=0.0551
[ep   33] longdress    static_B_2020.01.16_10.43.34.csv@2673  reward=  155.34 qoe=  63.8 qoe_q=   24.6 eps=0.972 loss=0.0662
[ep   34] loot         static_B_2020.02.27_18.39.27.csv@5024  reward=  162.36 qoe=  73.8 qoe_q=   27.8 eps=0.972 loss=0.0533
[ep   35] redandblack  static_B_2019.12.16_13.40.04.csv@1286  reward=  167.15 qoe= 100.0 qoe_q=   42.5 eps=0.971 loss=0.0563
[ep   36] soldier      static_B_2020.02.13_13.57.29.csv@694   reward=  127.46 qoe=   0.0 qoe_q=  -66.6 eps=0.970 loss=0.0547
[ep   37] longdress    static_B_2020.02.27_18.39.27.csv@2804  reward=  169.23 qoe=  82.0 qoe_q=   41.1 eps=0.969 loss=0.0606
[ep   38] loot         static_B_2020.01.16_10.43.34.csv@2913  reward=  134.00 qoe=   0.0 qoe_q=  -50.1 eps=0.968 loss=0.0581
[ep   39] redandblack  static_B_2020.01.16_10.43.34.csv@333   reward=  183.63 qoe=  46.0 qoe_q=   48.2 eps=0.967 loss=0.0604
