episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
386,loot,static_B_2020.01.16_10.43.34.csv,92,108.7369,0.00,-24.72,0.6777,0.365233
387,redandblack,static_B_2019.12.16_13.40.04.csv,66,222.7859,26.00,68.93,0.6768,0.384186
388,soldier,static_B_2020.02.13_13.57.29.csv,831,179.0073,0.22,18.92,0.6760,0.437784
389,longdress,static_B_2020.02.27_18.39.27.csv,1459,152.4751,26.52,29.24,0.6752,0.418422
390,loot,static_B_2020.02.27_18.39.27.csv,1639,160.6513,64.42,28.99,0.6743,0.363410
391,redandblack,static_B_2020.01.16_10.43.34.csv,1412,164.4410,0.00,-191.26,0.6735,0.358563
392,soldier,static_B_2019.12.16_13.40.04.csv,906,83.7842,0.00,-86.52,0.6727,0.376014
393,longdress,static_B_2020.02.13_13.57.29.csv,1071,220.0511,83.02,64.24,0.6718,0.357523
394,loot,static_B_2020.02.13_13.57.29.csv,2211,189.7084,34.25,26.41,0.6710,0.416397
395,redandblack,static_B_2019.12.16_13.40.04.csv,1146,145.0055,32.44,21.30,0.6702,0.371635
396,soldier,static_B_2020.02.27_18.39.27.csv,1279,201.9827,18.82,36.09,0.6693,0.425006
397,longdress,static_B_2020.02.27_18.39.27.csv,1039,204.5768,100.00,60.00,0.6685,0.737922
398,loot,static_B_2020.01.16_10.43.34.csv,752,140.6270,35.77,7.22,0.6676,0.442440
399,redandblack,static_B_2019.12.16_13.40.04.csv,606,165.6734,25.82,33.62,0.6668,0.466805
400,soldier,static_B_2020.02.13_13.57.29.csv,531,189.5921,36.80,30.58,0.6660,0.484640
401,longdress,static_B_2020.01.16_10.43.34.csv,692,227.6901,36.00,68.62,0.6651,0.442231
402,loot,static_B_2020.02.27_18.39.27.csv,2179,162.9611,100.00,42.82,0.6643,0.532631
403,redandblack,static_B_2020.02.27_18.39.27.csv,3199,203.9082,10.00,59.61,0.6635,0.384815
404,soldier,static_B_2020.02.13_13.57.29.csv,1851,115.0569,0.00,-45.83,0.6626,0.475516
405,longdress,static_B_2020.02.27_18.39.27.csv,5239,237.1278,100.00,72.59,0.6618,0.445790
406,loot,static_B_2020.02.27_18.39.27.csv,1879,176.1925,83.86,49.29,0.6610,0.441965
407,redandblack,static_B_2020.02.27_18.39.27.csv,679,182.7619,35.83,37.88,0.6601,0.407418
408,soldier,static_B_2020.02.27_18.39.27.csv,799,220.7437,100.00,64.91,0.6593,0.492130
409,longdress,static_B_2020.02.13_13.57.29.csv,591,203.6872,75.97,55.23,0.6585,0.399534
410,loot,static_B_2020.02.27_18.39.27.csv,3859,85.7612,0.00,-66.99,0.6576,0.515069
411,redandblack,static_B_2020.02.27_18.39.27.csv,979,213.8858,100.00,62.57,0.6568,0.497966
412,soldier,static_B_2019.12.16_13.40.04.csv,306,112.9369,0.00,-40.72,0.6560,0.512395
413,longdress,static_B_2020.02.27_18.39.27.csv,199,191.0877,23.14,28.07,0.6551,0.506026
414,loot,static_B_2020.01.16_10.43.34.csv,2792,234.5114,94.00,72.44,0.6543,0.445032
415,redandblack,static_B_2020.01.16_10.43.34.csv,2012,135.7722,0.00,-24.31,0.6535,0.444503
416,soldier,static_B_2020.02.13_13.57.29.csv,2631,227.4699,52.00,68.57,0.6526,0.478242
